ticket_id,user_id,match_id,seat,section,gate_id,category,qr_token,scan_status,scan_time,fraud_score
57,8156,62,S-A-32,Sec-14,11,Club,QR-C12C46A8F6D5,Scanned,2026-05-21T21:48:00,2
58,7485,63,S-C-96,Sec-11,11,Club,QR-0B285B92D77F,Scanned,2026-05-22T19:06:00,2
59,9364,64,S-A-68,Sec-17,8,VIP,QR-1885D53FAEF3,Scanned,2026-05-23T16:37:00,2
60,4872,55,S-A-19,Sec-9,2,VIP,QR-03941889DE20,Scanned,2026-05-14T19:51:00,4
61,3903,56,S-D-60,Sec-19,13,Premium,QR-7AF07D285604,Scanned,2026-05-15T20:41:00,2
62,3474,57,S-D-9,Sec-16,5,Club,QR-29722863C2FE,Scanned,2026-05-16T15:58:00,10
63,6767,58,S-A-40,Sec-15,10,VIP,QR-B1DA741FA44A,Scanned,2026-05-17T20:10:00,1
64,5704,59,S-A-83,Sec-3,10,General,QR-78CB96E2F769,Scanned,2026-05-18T23:06:00,11
65,8369,60,S-B-42,Sec-20,11,Club,QR-A781C482B717,Scanned,2026-05-19T19:22:00,1
66,2696,61,S-C-92,Sec-3,4,Premium,QR-04562B0D1498,Scanned,2026-05-20T21:05:00,14
67,8173,62,S-D-68,Sec-17,11,Premium,QR-6FCC59EDAD49,Scanned,2026-05-21T23:10:00,7
68,5635,63,S-D-53,Sec-11,11,Premium,QR-D3BE5A2BD3D5,Scanned,2026-05-22T19:47:00,11
69,6402,64,S-A-72,Sec-13,11,General,QR-FE840507A41A,Scanned,2026-05-23T15:55:00,2
70,2336,55,S-B-45,Sec-10,3,VIP,QR-CC4E28805227,Scanned,2026-05-14T20:42:00,10
71,7172,56,S-C-17,Sec-17,15,Premium,QR-1C07AFB8AAD8,Scanned,2026-05-15T20:59:00,9
72,1299,57,S-C-40,Sec-6,1,Club,QR-815AC192408C,Scanned,2026-05-16T15:10:00,11
73,4712,58,S-B-20,Sec-3,8,VIP,QR-5736A9700D4D,Scanned,2026-05-17T19:16:00,6
74,6518,59,S-B-77,Sec-13,9,General,QR-31C7242475D8,Scanned,2026-05-18T21:11:00,1
75,8171,60,S-A-53,Sec-12,8,Premium,QR-27C76884D40C,Scanned,2026-05-19T20:34:00,5
76,8356,61,S-B-69,Sec-8,6,Premium,QR-4E941169EEB8,Scanned,2026-05-20T19:27:00,9
77,8219,62,S-D-99,Sec-10,9,Club,QR-1840674E5E65,Scanned,2026-05-21T22:31:00,11
78,3268,63,S-C-7,Sec-16,10,Club,QR-77B12EB38689,Scanned,2026-05-22T20:39:00,6
79,5671,64,S-A-98,Sec-6,9,General,QR-E8A42DB4C5E8,Scanned,2026-05-23T15:08:00,3
80,8168,55,S-A-29,Sec-15,3,Club,QR-621C4E92CD5E,Scanned,2026-05-14T19:09:00,4
81,7496,56,S-C-31,Sec-13,14,General,QR-9F7CC93130A8,Scanned,2026-05-15T19:34:00,1
82,6222,57,S-A-92,Sec-11,1,VIP,QR-EEAEA6551239,Scanned,2026-05-16T16:23:00,0
83,8741,58,S-B-98,Sec-16,8,Premium,QR-F842C3919C84,Scanned,2026-05-17T21:11:00,9
84,5194,59,S-B-20,Sec-18,10,General,QR-719497AE8AE1,Scanned,2026-05-18T23:00:00,0
85,4894,60,S-C-16,Sec-2,11,Club,QR-F789A4DCDBC0,Scanned,2026-05-19T20:52:00,9
86,2817,61,S-D-77,Sec-18,2,Club,QR-E36EEE1C79C5,Scanned,2026-05-20T19:23:00,2
87,8033,62,S-A-79,Sec-12,7,Premium,QR-E6DA748D9D71,Scanned,2026-05-21T22:44:00,9
88,9577,63,S-C-9,Sec-17,8,Club,QR-3D1B1D1BC398,Scanned,2026-05-22T20:33:00,2
89,1714,64,S-D-48,Sec-9,11,General,QR-E74309FEA91B,Scanned,2026-05-23T15:41:00,15
90,6650,55,S-B-94,Sec-4,6,General,QR-1546F5CD9552,Scanned,2026-05-14T19:49:00,2
91,6773,56,S-C-83,Sec-6,16,VIP,QR-ACCB1CE01F9A,Scanned,2026-05-15T20:46:00,1
92,3210,57,S-A-92,Sec-15,6,Club,QR-75A724917EA8,Scanned,2026-05-16T15:18:00,5
93,4269,58,S-A-41,Sec-10,7,VIP,QR-D7D58599B7C5,Scanned,2026-05-17T20:29:00,1
94,5151,59,S-A-97,Sec-7,11,Club,QR-2C1471F086F2,Scanned,2026-05-18T21:01:00,15
95,5477,60,S-A-48,Sec-14,9,VIP,QR-F929E5286C63,Scanned,2026-05-19T21:08:00,10
96,4061,61,S-D-89,Sec-16,4,Club,QR-1FAEA6FA9289,Scanned,2026-05-20T19:42:00,10
97,2294,62,S-D-78,Sec-6,9,VIP,QR-19A600D91C4E,Scanned,2026-05-21T22:59:00,13
98,2312,63,S-C-85,Sec-10,11,VIP,QR-4CAFD891586C,Scanned,2026-05-22T19:58:00,3
99,8273,64,S-C-58,Sec-2,9,Club,QR-3E8185CBD8D0,Scanned,2026-05-23T15:31:00,5
100,1940,55,S-A-86,Sec-13,6,VIP,QR-491C028EDB66,Failed,2026-05-14T19:29:00,90
101,8180,56,S-A-17,Sec-3,14,Premium,QR-495935F6B50F,Scanned,2026-05-15T21:13:00,4
102,1531,57,S-B-87,Sec-15,2,VIP,QR-901BF7C018E7,Scanned,2026-05-16T15:48:00,12
103,3256,58,S-C-51,Sec-11,9,VIP,QR-4656B9E93319,Scanned,2026-05-17T19:27:00,2
104,4049,59,S-D-67,Sec-13,9,Premium,QR-8059B268D4EF,Scanned,2026-05-18T22:51:00,0
105,8312,60,S-B-79,Sec-10,11,General,QR-81C23B9421DD,Scanned,2026-05-19T20:13:00,8
106,3224,61,S-A-58,Sec-6,6,Club,QR-08009EDA3FC1,Scanned,2026-05-20T20:29:00,3
107,2064,62,S-C-39,Sec-6,10,General,QR-8B9C17E3713A,Scanned,2026-05-21T21:59:00,11
108,2989,63,S-B-18,Sec-8,8,VIP,QR-B296D2E101E8,Scanned,2026-05-22T19:10:00,7
109,8658,64,S-B-79,Sec-3,10,General,QR-2D4EBA011B75,Scanned,2026-05-23T15:48:00,11
110,9613,55,S-D-99,Sec-14,1,VIP,QR-E026FBE5CC28,Scanned,2026-05-14T19:39:00,15
111,2216,56,S-D-60,Sec-17,16,General,QR-2BF070845C30,Scanned,2026-05-15T20:48:00,10
112,8089,57,S-A-16,Sec-17,3,Premium,QR-F51C89884631,Scanned,2026-05-16T16:34:00,4
113,6287,58,S-B-45,Sec-17,8,VIP,QR-F3CE5C4A9948,Scanned,2026-05-17T20:38:00,5
114,5497,59,S-B-81,Sec-10,9,General,QR-F9197A4B586A,Scanned,2026-05-18T22:16:00,6
115,3527,60,S-B-85,Sec-20,11,General,QR-1111175A8340,Scanned,2026-05-19T19:12:00,5
116,2331,61,S-A-83,Sec-19,6,VIP,QR-A1D5FCE77BD4,Scanned,2026-05-20T21:10:00,0
117,9160,62,S-C-83,Sec-10,9,Premium,QR-8E638224C5E7,Scanned,2026-05-21T21:34:00,0
118,8431,63,S-A-89,Sec-2,10,Premium,QR-35BD8326D12F,Scanned,2026-05-22T19:37:00,9
119,8610,64,S-B-44,Sec-20,8,Club,QR-27B58E0BB9F9,Scanned,2026-05-23T15:34:00,15
120,7533,55,S-B-98,Sec-12,2,VIP,QR-FFC2850A2C87,Scanned,2026-05-14T19:59:00,11
121,8643,56,S-A-35,Sec-15,16,General,QR-00D436AE711F,Scanned,2026-05-15T19:59:00,7
122,5755,57,S-D-79,Sec-14,2,Premium,QR-BFB1C6E81B7E,Scanned,2026-05-16T16:56:00,1
123,4111,58,S-B-64,Sec-17,8,Premium,QR-D36DFF503B71,Scanned,2026-05-17T19:57:00,10
124,1380,59,S-A-51,Sec-17,10,Club,QR-5E62D2CF56C5,Scanned,2026-05-18T22:02:00,15
125,1798,60,S-A-37,Sec-16,10,Premium,QR-7DCB6D0EC559,Scanned,2026-05-19T20:25:00,11
126,2762,61,S-D-18,Sec-9,5,Club,QR-5A367C3AB5A7,Scanned,2026-05-20T20:07:00,0
127,7564,62,S-A-73,Sec-18,9,Club,QR-83BC4E8B3368,Scanned,2026-05-21T21:47:00,1
128,7330,63,S-D-98,Sec-18,8,VIP,QR-418FF346625F,Scanned,2026-05-22T20:07:00,2
129,7454,64,S-C-44,Sec-18,9,General,QR-BC137DAEB959,Scanned,2026-05-23T16:48:00,3
130,9194,55,S-A-6,Sec-2,3,Premium,QR-97BE811F9D0E,Scanned,2026-05-14T20:30:00,12
131,3441,56,S-B-42,Sec-20,13,VIP,QR-8808F4AC888E,Scanned,2026-05-15T19:19:00,14
132,6512,57,S-D-91,Sec-19,3,Premium,QR-5498B44FC186,Scanned,2026-05-16T15:40:00,9
133,6428,58,S-A-54,Sec-19,9,Club,QR-B64F47BA91FF,Scanned,2026-05-17T21:16:00,11
134,4729,59,S-A-75,Sec-16,9,General,QR-77F7F493092B,Scanned,2026-05-18T21:19:00,8
135,1518,60,S-A-25,Sec-1,8,Club,QR-E7A18E1EAC61,Scanned,2026-05-19T20:43:00,7
136,7766,61,S-B-53,Sec-17,4,VIP,QR-35B065238BDE,Scanned,2026-05-20T19:33:00,4
137,9499,62,S-B-72,Sec-11,11,Club,QR-5B1570E7F701,Scanned,2026-05-21T23:05:00,4
138,8532,63,S-C-70,Sec-12,10,Club,QR-D4CE4893820B,Scanned,2026-05-22T20:00:00,5
139,5572,64,S-C-29,Sec-10,9,Club,QR-5A063B7C3673,Scanned,2026-05-23T16:31:00,7
140,8862,55,S-C-72,Sec-9,3,Premium,QR-0792A258B473,Scanned,2026-05-14T19:15:00,10
141,7465,56,S-C-99,Sec-5,14,General,QR-F9F357070721,Scanned,2026-05-15T19:01:00,12
142,6675,57,S-D-84,Sec-9,3,General,QR-3E4A5B138F96,Scanned,2026-05-16T16:07:00,2
143,5451,58,S-B-14,Sec-20,10,Premium,QR-500213DF15FC,Scanned,2026-05-17T20:29:00,8
144,9701,59,S-B-82,Sec-8,11,Premium,QR-66F24831E1D3,Scanned,2026-05-18T22:18:00,1
145,8740,60,S-A-88,Sec-5,7,General,QR-B2287B13822D,Scanned,2026-05-19T19:35:00,10
146,8823,61,S-B-97,Sec-10,1,Premium,QR-7E6E2A5F6310,Scanned,2026-05-20T19:36:00,15
147,4805,62,S-A-23,Sec-14,9,VIP,QR-1731135C40E0,Scanned,2026-05-21T23:05:00,2
148,4053,63,S-C-5,Sec-1,8,General,QR-5AAA05E3D8FB,Scanned,2026-05-22T19:39:00,15
149,8445,64,S-D-18,Sec-17,9,General,QR-3790D629934B,Scanned,2026-05-23T15:55:00,9
150,6418,55,S-B-94,Sec-15,4,VIP,QR-6C3E25500E2B,Scanned,2026-05-14T20:31:00,3
151,5834,56,S-B-23,Sec-20,14,Premium,QR-C0F1FB5C3E89,Scanned,2026-05-15T21:17:00,10
152,2422,57,S-D-86,Sec-4,6,Club,QR-45DA4A36E333,Scanned,2026-05-16T15:31:00,10
153,5065,58,S-A-34,Sec-13,8,Premium,QR-A8C3EA40C8D8,Scanned,2026-05-17T19:18:00,10
154,5948,59,S-A-34,Sec-12,8,Club,QR-4872E7984C80,Scanned,2026-05-18T22:12:00,10
155,6027,60,S-B-52,Sec-17,8,General,QR-292B792FB490,Scanned,2026-05-19T20:50:00,14
156,7022,61,S-B-29,Sec-5,6,VIP,QR-5F30716CBF3F,Scanned,2026-05-20T20:50:00,9
157,7814,62,S-D-97,Sec-18,10,Premium,QR-769BDC9B8A55,Scanned,2026-05-21T21:24:00,11
158,9654,63,S-C-10,Sec-19,8,Premium,QR-300A5716AF1B,Scanned,2026-05-22T21:00:00,14
159,9793,64,S-B-22,Sec-11,7,General,QR-10C72C388705,Scanned,2026-05-23T15:00:00,6
160,9009,55,S-A-66,Sec-15,5,Club,QR-8802E824A389,Scanned,2026-05-14T20:51:00,6
161,8485,56,S-A-72,Sec-15,12,Club,QR-5AF443D150D4,Scanned,2026-05-15T20:47:00,13
162,5170,57,S-A-96,Sec-7,6,VIP,QR-A1290016F071,Scanned,2026-05-16T17:15:00,12
163,6645,58,S-A-70,Sec-2,11,General,QR-0F15343ECB2A,Scanned,2026-05-17T21:09:00,13
164,7699,59,S-B-99,Sec-5,7,Club,QR-B018D3BF0C95,Scanned,2026-05-18T23:12:00,9
165,7185,60,S-D-11,Sec-18,10,VIP,QR-16D364020E33,Scanned,2026-05-19T19:43:00,14
166,9803,61,S-D-68,Sec-5,2,VIP,QR-EA982030D3E6,Scanned,2026-05-20T20:50:00,5
167,8586,62,S-D-69,Sec-13,8,General,QR-BCFE96614C29,Scanned,2026-05-21T23:15:00,9
168,3542,63,S-C-25,Sec-4,8,Premium,QR-12AFB1EE2AD6,Scanned,2026-05-22T19:23:00,11
169,4377,64,S-A-13,Sec-20,7,Club,QR-4EE571F368C6,Scanned,2026-05-23T17:16:00,7
170,1725,55,S-D-57,Sec-8,1,Club,QR-580DB10DC2CD,Scanned,2026-05-14T21:08:00,7
171,9256,56,S-C-30,Sec-19,16,Premium,QR-43AA313E30C8,Scanned,2026-05-15T21:06:00,4
172,3348,57,S-B-53,Sec-10,3,VIP,QR-B5B87CD97D46,Scanned,2026-05-16T16:20:00,9
173,9121,58,S-A-45,Sec-13,9,General,QR-0ABAEBDBFFFE,Scanned,2026-05-17T20:36:00,13
174,3445,59,S-C-49,Sec-6,11,VIP,QR-FAEDD4D54A12,Scanned,2026-05-18T21:34:00,13
175,5928,60,S-B-60,Sec-2,11,Club,QR-F06D41CE69A9,Scanned,2026-05-19T20:19:00,7
176,7364,61,S-B-33,Sec-7,5,Club,QR-F11ADFC02B17,Scanned,2026-05-20T19:34:00,4
177,2515,62,S-B-7,Sec-9,9,General,QR-4E06C98DEC61,Scanned,2026-05-21T21:25:00,11
178,4556,63,S-D-27,Sec-11,10,General,QR-53D407758FC8,Scanned,2026-05-22T21:02:00,6
179,2923,64,S-D-32,Sec-20,9,General,QR-BF3EE9E0C99D,Scanned,2026-05-23T16:26:00,6
180,6270,55,S-C-49,Sec-15,6,Premium,QR-987E40D95E97,Scanned,2026-05-14T19:39:00,7
181,6893,56,S-D-60,Sec-4,16,VIP,QR-2255C0731EF6,Scanned,2026-05-15T20:02:00,8
182,7074,57,S-C-53,Sec-2,6,Club,QR-2C489AC4BFB8,Scanned,2026-05-16T15:59:00,6
183,5273,58,S-D-38,Sec-5,11,Premium,QR-15A31EF7D42A,Scanned,2026-05-17T20:43:00,0
184,5027,59,S-D-71,Sec-11,8,VIP,QR-7C49BDCE6F85,Scanned,2026-05-18T22:22:00,12
185,3757,60,S-C-22,Sec-5,9,Club,QR-81158CFC7640,Scanned,2026-05-19T19:15:00,14
186,9585,61,S-A-10,Sec-2,6,Club,QR-B070D30B5496,Scanned,2026-05-20T20:33:00,1
187,2114,62,S-B-2,Sec-7,7,Club,QR-DF13C0EE56CB,Scanned,2026-05-21T22:45:00,7
188,8917,63,S-D-3,Sec-1,11,Club,QR-9B852D641B2F,Scanned,2026-05-22T19:45:00,1
189,9674,64,S-C-69,Sec-10,11,Club,QR-10CEFBEB6627,Scanned,2026-05-23T17:17:00,0
190,2579,55,S-B-31,Sec-7,1,Club,QR-20814F47480F,Scanned,2026-05-14T20:35:00,3
191,7503,56,S-A-48,Sec-13,16,VIP,QR-9F016C973776,Scanned,2026-05-15T19:50:00,8
192,2321,57,S-A-12,Sec-13,4,Premium,QR-DC11B8D41EED,Scanned,2026-05-16T16:23:00,9
193,1155,58,S-B-11,Sec-16,10,Club,QR-8513F06642D1,Scanned,2026-05-17T19:19:00,1
194,4765,59,S-B-89,Sec-19,10,VIP,QR-717FD546B3CB,Scanned,2026-05-18T22:56:00,1
195,5594,60,S-A-23,Sec-11,10,VIP,QR-64FFF18883D1,Scanned,2026-05-19T21:09:00,2
196,2261,61,S-C-21,Sec-19,1,Premium,QR-021133C9EECA,Scanned,2026-05-20T20:44:00,12
197,7289,62,S-B-89,Sec-3,8,Club,QR-2AADCF41539D,Scanned,2026-05-21T21:02:00,10
198,8162,63,S-B-10,Sec-11,11,VIP,QR-8CA0EC99E9F0,Scanned,2026-05-22T21:07:00,3
199,5479,64,S-D-63,Sec-8,11,Club,QR-7912FDED64DC,Scanned,2026-05-23T15:57:00,0
200,7228,55,S-A-99,Sec-20,3,Club,QR-675496F91E8A,Failed,2026-05-14T19:30:00,91
201,5391,56,S-B-49,Sec-5,14,Premium,QR-988D48B9FD77,Scanned,2026-05-15T21:02:00,2
202,2746,57,S-A-1,Sec-10,6,Club,QR-7748F75F659D,Scanned,2026-05-16T15:59:00,11
203,3171,58,S-A-24,Sec-14,10,VIP,QR-89960D7DA924,Scanned,2026-05-17T20:11:00,3
204,2469,59,S-C-71,Sec-3,10,Club,QR-0FF5BA10A093,Scanned,2026-05-18T22:54:00,0
205,5782,60,S-D-50,Sec-3,11,VIP,QR-F93DA174875D,Scanned,2026-05-19T19:42:00,0
206,7238,61,S-B-18,Sec-9,6,Premium,QR-0E10FD4D0DCA,Scanned,2026-05-20T19:07:00,5
207,2037,62,S-B-56,Sec-9,9,VIP,QR-0F664BCB4CB4,Scanned,2026-05-21T21:14:00,4
208,6917,63,S-C-32,Sec-16,10,VIP,QR-376226A20674,Scanned,2026-05-22T19:17:00,2
209,3220,64,S-C-1,Sec-13,11,Premium,QR-0B7A7AA5EC54,Scanned,2026-05-23T15:23:00,3
210,6485,55,S-D-84,Sec-20,3,Club,QR-409F03FCBE38,Scanned,2026-05-14T19:56:00,14
211,8849,56,S-C-23,Sec-13,13,VIP,QR-DA244D24DE73,Scanned,2026-05-15T19:58:00,6
212,6340,57,S-D-36,Sec-13,3,VIP,QR-25873DA5A464,Scanned,2026-05-16T15:15:00,7
213,1441,58,S-D-91,Sec-7,9,General,QR-71116B482B93,Scanned,2026-05-17T20:29:00,5
214,9181,59,S-B-82,Sec-10,10,VIP,QR-30987D1A4331,Scanned,2026-05-18T23:03:00,13
215,7177,60,S-A-58,Sec-20,8,VIP,QR-547B678B9F56,Scanned,2026-05-19T20:41:00,13
216,9908,61,S-A-47,Sec-18,4,Club,QR-ADF456B3D5A0,Scanned,2026-05-20T19:04:00,13
217,6817,62,S-B-83,Sec-20,11,General,QR-4C482242A3F2,Scanned,2026-05-21T22:53:00,7
218,2736,63,S-A-13,Sec-9,7,Club,QR-981CF112F3CC,Scanned,2026-05-22T19:56:00,13
219,7409,64,S-D-99,Sec-19,8,Premium,QR-895744EF3ED7,Scanned,2026-05-23T15:26:00,11
220,8910,55,S-A-38,Sec-14,6,Premium,QR-60C334D033C6,Scanned,2026-05-14T19:52:00,0
221,6111,56,S-C-59,Sec-7,12,General,QR-35798B77CABD,Scanned,2026-05-15T20:44:00,11
222,2600,57,S-D-93,Sec-15,5,Club,QR-EAD197F1AF13,Scanned,2026-05-16T15:51:00,15
223,2886,58,S-A-44,Sec-4,9,General,QR-4403B8DB615F,Scanned,2026-05-17T20:04:00,1
224,3624,59,S-C-72,Sec-14,8,Premium,QR-36BCC51628CF,Scanned,2026-05-18T21:08:00,5
225,4054,60,S-D-51,Sec-1,10,Premium,QR-28A3588814C7,Scanned,2026-05-19T19:37:00,5
226,7371,61,S-A-91,Sec-7,6,Premium,QR-A8F673CAE58F,Scanned,2026-05-20T19:25:00,13
227,9797,62,S-B-47,Sec-11,8,VIP,QR-8B2A3B80CB21,Scanned,2026-05-21T23:04:00,3
228,9020,63,S-C-77,Sec-13,8,Club,QR-F7535309A456,Scanned,2026-05-22T20:51:00,8
229,6767,64,S-D-80,Sec-6,11,Club,QR-BC2FAABFCCD9,Scanned,2026-05-23T16:51:00,11
230,6132,55,S-A-31,Sec-10,6,VIP,QR-1F34AE0C5C40,Scanned,2026-05-14T20:59:00,4
231,9370,56,S-D-54,Sec-20,12,Premium,QR-F31F181FD44E,Scanned,2026-05-15T19:45:00,4
232,8974,57,S-B-72,Sec-6,2,Club,QR-140B96159613,Scanned,2026-05-16T15:32:00,5
233,6155,58,S-D-80,Sec-2,10,VIP,QR-40ABF46CD7B8,Scanned,2026-05-17T20:45:00,5
234,4197,59,S-D-72,Sec-17,9,General,QR-8AE813DCDC1C,Scanned,2026-05-18T21:16:00,4
235,8273,60,S-D-22,Sec-3,10,Club,QR-B30916A9B987,Scanned,2026-05-19T19:15:00,13
236,1536,61,S-C-29,Sec-18,5,General,QR-E4AB8C571604,Scanned,2026-05-20T20:24:00,9
237,9370,62,S-A-74,Sec-4,9,Premium,QR-41FA4DE96273,Scanned,2026-05-21T21:23:00,15
238,8232,63,S-B-55,Sec-4,9,VIP,QR-FABEA3ADFE43,Scanned,2026-05-22T19:02:00,1
239,5306,64,S-C-12,Sec-15,8,VIP,QR-C9D6938558FD,Scanned,2026-05-23T17:12:00,14
240,8016,55,S-B-79,Sec-5,1,Premium,QR-4CD1ADAAA3FA,Scanned,2026-05-14T20:27:00,11
241,9721,56,S-C-77,Sec-18,13,Premium,QR-DD4010F1F503,Scanned,2026-05-15T21:05:00,11
242,5381,57,S-A-18,Sec-14,2,VIP,QR-C8709D0806E7,Scanned,2026-05-16T16:06:00,9
243,5091,58,S-B-92,Sec-11,7,VIP,QR-218DD58CFC8D,Scanned,2026-05-17T20:48:00,4
244,5403,59,S-D-49,Sec-15,8,Club,QR-F31905C0993A,Scanned,2026-05-18T21:15:00,4
245,7047,60,S-D-63,Sec-11,7,General,QR-95E98B91EA2A,Scanned,2026-05-19T19:37:00,8
246,6870,61,S-A-69,Sec-13,5,General,QR-8EA756978B90,Scanned,2026-05-20T20:57:00,14
