incident_id,timestamp,stadium_id,zone_id,incident_type,severity,description,reported_by,ai_detected,ai_confidence,assigned_team,response_time_minutes,resolution_time_minutes,status
28,2026-04-05T03:26:00,1,11,Weather,Medium,Reported weather event details logged by staff,Gate Supervisor,False,0.0,Crowd Control Team 1,17,113,Assigned
29,2026-04-08T08:40:00,2,29,Fire,High,Heat alarm triggered in generator room,Spectator App,False,0.0,Security Patrol Beta,9,90,Verified
30,2026-04-03T11:49:00,3,37,Medical,Medium,Minor cuts and bruises,Sensor Node AI,True,0.87,Fire Dispatch,10,23,Closed
31,2026-04-07T21:43:00,1,1,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,CCTV Video Analytics,True,0.75,Crowd Control Team 1,21,49,Reported
32,2026-04-06T05:26:00,2,17,Crowd,Low,Congestion near turnstiles,Sensor Node AI,True,0.77,Crowd Control Team 1,17,22,Resolved
33,2026-04-04T00:02:00,2,20,Ticket Fraud,Critical,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,Fire Dispatch,5,25,Monitoring
34,2026-04-06T20:29:00,2,19,Weather,Low,Reported weather event details logged by staff,CCTV Video Analytics,True,0.82,First Aid Squad A,29,28,Verified
35,2026-04-04T02:43:00,2,30,Crowd,Critical,Gate rush attempts,CCTV Video Analytics,False,0.0,First Aid Squad A,5,29,Reported
36,2026-04-03T13:06:00,2,24,Weather,Low,Reported weather event details logged by staff,Steward #1402,True,0.78,Crowd Control Team 1,6,20,Closed
37,2026-04-06T01:42:00,2,29,Security,Medium,Verbal alteration between fans,Gate Supervisor,True,0.82,Security Patrol Beta,29,84,Responding
38,2026-04-05T04:27:00,1,4,Medical,High,Visitor complaining of chest pain,Steward #1402,True,0.74,Crowd Control Team 1,9,113,Closed
39,2026-04-02T10:06:00,1,5,Ticket Fraud,High,Reported ticket fraud event details logged by staff,Gate Supervisor,True,0.91,First Aid Squad A,9,15,Responding
40,2026-04-02T22:00:00,2,17,Facility,Critical,Floodlight panel flickering,Sensor Node AI,False,0.0,Security Patrol Beta,7,27,Responding
41,2026-04-05T22:46:00,2,23,Weather,Medium,Reported weather event details logged by staff,Spectator App,True,0.97,Crowd Control Team 1,13,111,Responding
42,2026-04-03T09:23:00,2,24,Security,Low,Unruly fan behavior reported,Spectator App,False,0.0,Guest Services Team,9,50,Verified
43,2026-04-05T01:43:00,2,28,Facility,Low,Escalator 2 stopped operating,Gate Supervisor,False,0.0,Security Patrol Beta,26,81,Closed
44,2026-04-03T15:23:00,2,22,Facility,Medium,Escalator 2 stopped operating,Steward #1402,False,0.0,Fire Dispatch,28,63,Monitoring
45,2026-04-04T23:30:00,1,6,Fire,Low,Smoke detected near food court kitchen,Sensor Node AI,False,0.0,Security Patrol Beta,22,17,Assigned
46,2026-04-04T18:45:00,1,14,Crowd,Low,Stairwell bottlenecks developing,Steward #1402,False,0.0,Guest Services Team,16,46,Assigned
47,2026-04-03T21:57:00,1,15,Missing Person,Low,Reported missing person event details logged by staff,Gate Supervisor,True,0.89,Guest Services Team,7,106,Closed
48,2026-04-02T04:59:00,2,22,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,True,0.75,Security Patrol Beta,16,85,Reported
49,2026-04-06T08:07:00,1,5,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,Security Patrol Beta,18,113,Closed
50,2026-04-06T05:54:00,1,11,Facility,Low,HVAC failure in West box,Spectator App,True,0.89,First Aid Squad A,16,48,Responding
51,2026-04-08T00:54:00,2,17,Medical,Low,Visitor complaining of chest pain,Sensor Node AI,True,0.82,First Aid Squad A,26,65,Responding
52,2026-04-01T17:35:00,3,31,Missing Person,Medium,Reported missing person event details logged by staff,CCTV Video Analytics,True,0.71,Guest Services Team,12,60,Monitoring
53,2026-04-07T16:16:00,2,19,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Fire Dispatch,16,65,Monitoring
54,2026-04-01T13:50:00,1,10,Crowd,Low,Slow moving crowd blockages,Gate Supervisor,True,0.94,Fire Dispatch,18,48,Verified
55,2026-04-04T06:06:00,1,4,Facility,Low,Water pipe leak in washroom B,Steward #1402,False,0.0,Fire Dispatch,15,82,Monitoring
56,2026-04-04T01:09:00,1,7,Missing Person,Low,Reported missing person event details logged by staff,Spectator App,False,0.0,Guest Services Team,11,32,Assigned
57,2026-04-06T04:55:00,2,28,Medical,Medium,Minor cuts and bruises,CCTV Video Analytics,False,0.0,Security Patrol Beta,17,77,Verified
58,2026-04-01T13:28:00,1,6,Medical,Low,Minor cuts and bruises,Steward #1402,False,0.0,Maintenance Crew Red,13,89,Monitoring
59,2026-04-05T16:33:00,3,35,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Fire Dispatch,29,16,Verified
60,2026-04-05T11:58:00,3,32,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Spectator App,True,0.84,Crowd Control Team 1,17,116,Assigned
61,2026-04-07T23:26:00,1,16,Facility,Medium,Floodlight panel flickering,Gate Supervisor,True,0.77,First Aid Squad A,20,30,Responding
62,2026-04-02T20:51:00,1,16,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,False,0.0,Guest Services Team,13,78,Monitoring
63,2026-04-04T13:17:00,3,37,Medical,Low,Minor cuts and bruises,Sensor Node AI,False,0.0,Fire Dispatch,6,101,Verified
64,2026-04-04T16:55:00,3,39,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,Fire Dispatch,20,51,Reported
65,2026-04-07T12:54:00,3,35,Crowd,Low,Congestion near turnstiles,CCTV Video Analytics,False,0.0,Guest Services Team,26,76,Assigned
66,2026-04-04T13:09:00,2,24,Missing Person,Low,Reported missing person event details logged by staff,Spectator App,True,0.88,Security Patrol Beta,30,58,Responding
67,2026-04-06T18:51:00,1,1,Weather,Low,Reported weather event details logged by staff,Steward #1402,True,0.8,First Aid Squad A,18,96,Verified
68,2026-04-07T10:21:00,1,1,Facility,Low,Escalator 2 stopped operating,Steward #1402,True,0.9,Guest Services Team,12,43,Responding
69,2026-04-06T00:47:00,3,36,Security,Medium,Unauthorized restricted zone access,Spectator App,True,0.95,Fire Dispatch,21,118,Closed
70,2026-04-02T16:02:00,1,10,Fire,Low,Small electrical spark in junction box,CCTV Video Analytics,True,0.77,Crowd Control Team 1,17,106,Responding
71,2026-04-01T20:21:00,2,20,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Fire Dispatch,10,55,Monitoring
72,2026-04-06T13:09:00,3,31,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,False,0.0,Fire Dispatch,9,110,Resolved
73,2026-04-01T21:57:00,2,19,Facility,Medium,Escalator 2 stopped operating,CCTV Video Analytics,False,0.0,Fire Dispatch,22,36,Closed
74,2026-04-01T19:26:00,3,34,Medical,High,Dehydration in stand,CCTV Video Analytics,True,0.74,Crowd Control Team 1,8,89,Monitoring
75,2026-04-02T10:41:00,2,27,Fire,Low,Trash bin smoldering,CCTV Video Analytics,True,0.91,Fire Dispatch,22,103,Closed
76,2026-04-01T22:45:00,2,19,Medical,Low,Sprained ankle on steps,Sensor Node AI,True,0.86,Maintenance Crew Red,21,81,Responding
77,2026-04-04T09:40:00,2,20,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,CCTV Video Analytics,False,0.0,Crowd Control Team 1,12,67,Closed
78,2026-04-05T01:12:00,1,9,Facility,Low,Water pipe leak in washroom B,Steward #1402,False,0.0,First Aid Squad A,25,54,Responding
79,2026-04-07T02:25:00,1,9,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,True,0.87,Guest Services Team,25,96,Monitoring
80,2026-04-08T03:04:00,2,25,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Gate Supervisor,True,0.78,Fire Dispatch,16,100,Reported
81,2026-04-08T05:59:00,1,8,Fire,Low,Small electrical spark in junction box,CCTV Video Analytics,True,0.93,Guest Services Team,18,25,Responding
82,2026-04-07T23:27:00,2,21,Facility,Low,Water pipe leak in washroom B,Spectator App,False,0.0,Security Patrol Beta,30,82,Reported
83,2026-04-05T23:01:00,2,22,Crowd,Medium,Gate rush attempts,CCTV Video Analytics,False,0.0,First Aid Squad A,7,111,Monitoring
84,2026-04-03T16:01:00,3,35,Fire,Medium,Heat alarm triggered in generator room,Steward #1402,True,0.73,Maintenance Crew Red,29,41,Closed
85,2026-04-04T16:54:00,2,21,Medical,Medium,Sprained ankle on steps,Gate Supervisor,True,0.81,Fire Dispatch,7,119,Monitoring
86,2026-04-06T13:56:00,2,18,Medical,Low,Sprained ankle on steps,Sensor Node AI,True,0.7,Fire Dispatch,11,28,Responding
87,2026-04-05T15:44:00,1,16,Crowd,Low,Congestion near turnstiles,Gate Supervisor,False,0.0,Maintenance Crew Red,23,98,Reported
88,2026-04-06T03:41:00,3,32,Weather,Medium,Reported weather event details logged by staff,Sensor Node AI,True,0.77,Fire Dispatch,29,25,Reported
89,2026-04-03T01:57:00,1,1,Security,Low,Verbal alteration between fans,Steward #1402,True,0.94,First Aid Squad A,23,99,Responding
90,2026-04-04T07:41:00,3,31,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Maintenance Crew Red,24,75,Resolved
91,2026-04-04T07:55:00,1,5,Security,Low,Unruly fan behavior reported,Steward #1402,False,0.0,First Aid Squad A,5,56,Monitoring
92,2026-04-02T17:16:00,1,16,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Guest Services Team,27,105,Verified
93,2026-04-02T14:27:00,1,2,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,Guest Services Team,29,105,Responding
94,2026-04-07T17:03:00,1,13,Fire,Low,Small electrical spark in junction box,Spectator App,True,0.76,First Aid Squad A,26,29,Verified
95,2026-04-01T12:47:00,2,27,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Crowd Control Team 1,11,38,Closed
96,2026-04-01T20:22:00,2,17,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Security Patrol Beta,20,67,Closed
97,2026-04-05T16:32:00,2,22,Security,Low,Verbal alteration between fans,Gate Supervisor,False,0.0,Crowd Control Team 1,24,69,Verified
98,2026-04-05T23:53:00,2,23,Weather,Low,Reported weather event details logged by staff,Spectator App,False,0.0,Security Patrol Beta,17,60,Reported
99,2026-04-05T10:20:00,1,2,Crowd,Medium,Stairwell bottlenecks developing,Steward #1402,True,0.81,Crowd Control Team 1,12,99,Responding
100,2026-04-01T14:01:00,1,10,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,CCTV Video Analytics,False,0.0,Guest Services Team,16,112,Reported
101,2026-04-03T00:21:00,1,10,Missing Person,Medium,Reported missing person event details logged by staff,Gate Supervisor,True,0.72,Maintenance Crew Red,14,17,Verified
102,2026-04-01T22:21:00,1,4,Facility,Medium,Escalator 2 stopped operating,Steward #1402,False,0.0,First Aid Squad A,13,96,Resolved
103,2026-04-06T21:21:00,1,2,Medical,Low,Visitor complaining of chest pain,Spectator App,True,0.93,First Aid Squad A,28,54,Responding
104,2026-04-03T20:06:00,2,22,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,CCTV Video Analytics,True,0.85,First Aid Squad A,26,19,Resolved
105,2026-04-07T20:28:00,2,19,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,True,0.75,First Aid Squad A,11,82,Assigned
106,2026-04-06T06:33:00,1,9,Missing Person,Low,Reported missing person event details logged by staff,Sensor Node AI,True,0.71,Fire Dispatch,6,85,Responding
107,2026-04-02T11:58:00,2,28,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,True,0.85,First Aid Squad A,20,94,Assigned
108,2026-04-03T06:12:00,3,38,Security,Low,Unruly fan behavior reported,CCTV Video Analytics,True,0.92,Guest Services Team,24,82,Closed
109,2026-04-02T14:37:00,1,14,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Crowd Control Team 1,17,96,Monitoring
110,2026-04-07T03:03:00,2,25,Facility,Low,Escalator 2 stopped operating,Spectator App,False,0.0,First Aid Squad A,12,81,Verified
111,2026-04-05T13:43:00,1,7,Fire,Critical,Smoke detected near food court kitchen,Sensor Node AI,True,0.92,Maintenance Crew Red,3,17,Verified
112,2026-04-08T04:56:00,2,20,Facility,Medium,Floodlight panel flickering,Spectator App,False,0.0,Guest Services Team,28,26,Resolved
113,2026-04-04T00:01:00,2,18,Missing Person,Medium,Reported missing person event details logged by staff,Spectator App,False,0.0,Security Patrol Beta,30,43,Assigned
114,2026-04-05T12:50:00,2,18,Weather,Low,Reported weather event details logged by staff,CCTV Video Analytics,False,0.0,Fire Dispatch,18,78,Closed
115,2026-04-05T16:26:00,2,28,Facility,Low,Escalator 2 stopped operating,Spectator App,True,0.93,Crowd Control Team 1,15,31,Verified
116,2026-04-02T20:29:00,2,20,Security,Medium,Unauthorized restricted zone access,CCTV Video Analytics,False,0.0,Maintenance Crew Red,11,51,Verified
117,2026-04-04T10:55:00,1,10,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,CCTV Video Analytics,False,0.0,Security Patrol Beta,8,22,Verified
118,2026-04-05T15:47:00,1,12,Ticket Fraud,High,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Guest Services Team,5,46,Resolved
119,2026-04-04T20:33:00,3,39,Medical,Low,Sprained ankle on steps,Gate Supervisor,True,0.75,Guest Services Team,29,118,Responding
120,2026-04-02T10:13:00,3,40,Suspicious Activity,High,Reported suspicious activity event details logged by staff,Steward #1402,True,0.95,Fire Dispatch,10,108,Assigned
121,2026-04-02T06:25:00,1,16,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Fire Dispatch,30,23,Reported
122,2026-04-04T23:38:00,3,33,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Spectator App,False,0.0,First Aid Squad A,19,51,Resolved
123,2026-04-05T10:02:00,2,19,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Sensor Node AI,True,0.78,Fire Dispatch,21,120,Closed
124,2026-04-02T01:51:00,1,2,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Crowd Control Team 1,24,91,Reported
125,2026-04-08T02:19:00,1,1,Fire,Critical,Heat alarm triggered in generator room,Sensor Node AI,False,0.0,Guest Services Team,10,33,Assigned
126,2026-04-03T09:02:00,1,13,Medical,Medium,Heat exhaustion reported,Steward #1402,False,0.0,First Aid Squad A,8,57,Responding
127,2026-04-05T16:24:00,2,30,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,Crowd Control Team 1,19,77,Reported
128,2026-04-05T13:23:00,3,38,Medical,Medium,Sprained ankle on steps,Gate Supervisor,False,0.0,Maintenance Crew Red,7,45,Resolved
129,2026-04-06T09:18:00,1,3,Fire,Low,Trash bin smoldering,Gate Supervisor,False,0.0,Maintenance Crew Red,23,103,Resolved
130,2026-04-02T15:40:00,1,15,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Gate Supervisor,False,0.0,Guest Services Team,25,116,Resolved
131,2026-04-05T21:44:00,3,31,Medical,Medium,Dehydration in stand,Steward #1402,False,0.0,Crowd Control Team 1,26,48,Responding
132,2026-04-05T07:28:00,1,2,Medical,Medium,Heat exhaustion reported,Gate Supervisor,True,0.84,Fire Dispatch,12,96,Verified
133,2026-04-01T22:03:00,1,9,Security,Low,Unruly fan behavior reported,Sensor Node AI,True,0.93,Maintenance Crew Red,11,108,Resolved
134,2026-04-03T01:51:00,2,17,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,True,0.7,Fire Dispatch,13,114,Closed
135,2026-04-02T01:04:00,1,11,Facility,Low,Floodlight panel flickering,Sensor Node AI,False,0.0,Maintenance Crew Red,17,68,Responding
136,2026-04-05T05:07:00,1,5,Ticket Fraud,High,Reported ticket fraud event details logged by staff,Steward #1402,True,0.94,Guest Services Team,5,108,Assigned
137,2026-04-03T20:01:00,2,18,Medical,Low,Visitor complaining of chest pain,Sensor Node AI,True,0.92,Crowd Control Team 1,14,17,Closed
138,2026-04-03T16:57:00,1,14,Weather,Low,Reported weather event details logged by staff,Steward #1402,False,0.0,Fire Dispatch,9,38,Assigned
139,2026-04-03T11:48:00,2,30,Medical,High,Heat exhaustion reported,Spectator App,True,0.87,First Aid Squad A,5,65,Resolved
140,2026-04-03T08:26:00,1,7,Medical,High,Minor cuts and bruises,Gate Supervisor,False,0.0,First Aid Squad A,10,63,Assigned
141,2026-04-05T22:33:00,2,24,Weather,Medium,Reported weather event details logged by staff,Sensor Node AI,True,0.9,Maintenance Crew Red,5,116,Responding
142,2026-04-06T15:49:00,2,20,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,True,0.91,Security Patrol Beta,12,93,Resolved
143,2026-04-05T04:56:00,2,29,Missing Person,Medium,Reported missing person event details logged by staff,Gate Supervisor,False,0.0,First Aid Squad A,13,75,Assigned
144,2026-04-03T02:42:00,1,8,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,First Aid Squad A,23,37,Reported
145,2026-04-06T02:39:00,1,11,Facility,Medium,HVAC failure in West box,Gate Supervisor,True,0.88,Crowd Control Team 1,27,46,Resolved
146,2026-04-03T20:16:00,3,39,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,Steward #1402,True,0.75,Maintenance Crew Red,26,39,Reported
147,2026-04-07T12:17:00,1,12,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,True,0.95,Security Patrol Beta,6,26,Verified
148,2026-04-07T08:02:00,3,39,Crowd,High,Slow moving crowd blockages,Gate Supervisor,False,0.0,Guest Services Team,6,84,Monitoring
149,2026-04-05T02:41:00,3,39,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,Gate Supervisor,False,0.0,Fire Dispatch,21,97,Closed
150,2026-04-03T06:04:00,2,19,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Gate Supervisor,True,0.77,Security Patrol Beta,20,109,Reported
151,2026-04-01T16:15:00,2,26,Facility,Low,Water pipe leak in washroom B,Steward #1402,False,0.0,Security Patrol Beta,25,115,Responding
152,2026-04-04T14:39:00,3,35,Security,Low,Tailgating at outer perimeter,Steward #1402,True,0.86,First Aid Squad A,19,38,Verified
153,2026-04-06T19:49:00,1,14,Medical,Low,Sprained ankle on steps,Sensor Node AI,False,0.0,Crowd Control Team 1,7,120,Verified
154,2026-04-04T17:41:00,1,15,Crowd,Low,Congestion near turnstiles,Spectator App,True,0.83,Crowd Control Team 1,17,66,Reported
155,2026-04-05T05:43:00,2,30,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,Security Patrol Beta,18,56,Responding
156,2026-04-05T11:44:00,1,12,Facility,Low,Floodlight panel flickering,Gate Supervisor,False,0.0,Crowd Control Team 1,25,109,Reported
157,2026-04-06T22:02:00,1,9,Crowd,Low,Slow moving crowd blockages,Steward #1402,True,0.75,Maintenance Crew Red,10,26,Assigned
158,2026-04-05T15:35:00,1,3,Crowd,Low,Gate rush attempts,CCTV Video Analytics,False,0.0,First Aid Squad A,9,83,Resolved
159,2026-04-04T10:15:00,2,28,Ticket Fraud,Critical,Reported ticket fraud event details logged by staff,Steward #1402,True,0.75,First Aid Squad A,2,10,Responding
160,2026-04-06T19:37:00,1,1,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,False,0.0,Security Patrol Beta,26,24,Resolved
161,2026-04-05T01:47:00,3,37,Medical,Medium,Sprained ankle on steps,Gate Supervisor,False,0.0,Crowd Control Team 1,30,24,Verified
162,2026-04-02T11:17:00,2,19,Medical,Low,Minor cuts and bruises,Gate Supervisor,True,0.95,Maintenance Crew Red,14,21,Resolved
163,2026-04-06T02:12:00,1,11,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,True,0.81,Crowd Control Team 1,9,26,Reported
164,2026-04-07T00:06:00,3,37,Medical,Low,Visitor complaining of chest pain,Steward #1402,False,0.0,First Aid Squad A,10,96,Closed
165,2026-04-02T10:47:00,2,18,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,False,0.0,Maintenance Crew Red,29,57,Responding
166,2026-04-05T15:37:00,2,18,Fire,Low,Heat alarm triggered in generator room,Spectator App,True,0.77,Guest Services Team,22,32,Verified
167,2026-04-05T17:27:00,3,39,Facility,Medium,Water pipe leak in washroom B,Spectator App,True,0.91,First Aid Squad A,14,104,Responding
168,2026-04-06T01:33:00,2,22,Ticket Fraud,High,Reported ticket fraud event details logged by staff,CCTV Video Analytics,False,0.0,First Aid Squad A,2,111,Assigned
169,2026-04-05T23:37:00,1,13,Facility,Low,HVAC failure in West box,Spectator App,False,0.0,Guest Services Team,18,21,Monitoring
170,2026-04-05T02:13:00,2,20,Fire,Low,Smoke detected near food court kitchen,Steward #1402,False,0.0,Guest Services Team,27,104,Assigned
171,2026-04-04T03:53:00,1,2,Medical,Low,Sprained ankle on steps,CCTV Video Analytics,False,0.0,Security Patrol Beta,10,90,Verified
172,2026-04-04T21:52:00,3,32,Medical,Medium,Heat exhaustion reported,Spectator App,True,0.78,Fire Dispatch,5,27,Reported
173,2026-04-02T15:00:00,1,7,Facility,Medium,HVAC failure in West box,Steward #1402,True,0.97,Security Patrol Beta,17,62,Monitoring
174,2026-04-04T15:54:00,1,16,Medical,Low,Visitor complaining of chest pain,CCTV Video Analytics,True,0.97,Security Patrol Beta,20,24,Responding
175,2026-04-03T06:17:00,1,2,Medical,Low,Visitor complaining of chest pain,CCTV Video Analytics,True,0.88,Security Patrol Beta,28,27,Verified
176,2026-04-01T19:14:00,2,29,Missing Person,Medium,Reported missing person event details logged by staff,Steward #1402,False,0.0,Fire Dispatch,5,110,Verified
177,2026-04-07T23:55:00,2,18,Fire,Low,Small electrical spark in junction box,Steward #1402,False,0.0,First Aid Squad A,12,80,Verified
178,2026-04-06T18:19:00,2,21,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Spectator App,True,0.74,Security Patrol Beta,5,113,Verified
179,2026-04-07T10:34:00,1,4,Medical,Low,Dehydration in stand,Spectator App,True,0.79,First Aid Squad A,17,67,Closed
180,2026-04-06T22:23:00,2,27,Fire,Low,Small electrical spark in junction box,Steward #1402,True,0.86,Fire Dispatch,9,50,Resolved
181,2026-04-04T02:37:00,1,1,Fire,Critical,Smoke detected near food court kitchen,Spectator App,True,0.98,Maintenance Crew Red,7,33,Verified
182,2026-04-02T14:13:00,2,20,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Spectator App,False,0.0,First Aid Squad A,8,51,Reported
183,2026-04-07T21:12:00,3,34,Security,Low,Verbal alteration between fans,Gate Supervisor,True,0.86,First Aid Squad A,24,51,Closed
184,2026-04-02T17:04:00,3,35,Facility,Low,Floodlight panel flickering,Gate Supervisor,False,0.0,Guest Services Team,12,32,Responding
185,2026-04-02T12:58:00,2,29,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Maintenance Crew Red,10,95,Assigned
186,2026-04-06T13:54:00,2,20,Security,Medium,Unauthorized restricted zone access,Steward #1402,True,0.96,Guest Services Team,18,26,Monitoring
187,2026-04-04T03:53:00,3,33,Medical,Low,Sprained ankle on steps,Steward #1402,False,0.0,Maintenance Crew Red,16,91,Monitoring
188,2026-04-06T07:11:00,2,28,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Crowd Control Team 1,18,104,Monitoring
