decision_id,title,category,severity,confidence,risk_score,evidence,predicted_impact,recommended_action,status,created_at
AI-DEC-011,AI Operational Optimization (EMERGENCY),emergency,low,0.76,19,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-29T04:49:00
AI-DEC-012,AI Operational Optimization (WEATHER),weather,high,0.89,89,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-05-01T03:26:00
AI-DEC-013,AI Operational Optimization (WEATHER),weather,medium,0.76,12,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-30T03:09:00
AI-DEC-014,AI Operational Optimization (WEATHER),weather,low,0.81,20,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-01T14:34:00
AI-DEC-015,AI Operational Optimization (EMERGENCY),emergency,critical,0.91,59,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-06T08:27:00
AI-DEC-016,Restricted Zone Entry Warning,security,low,0.86,28,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-05-04T12:17:00
AI-DEC-017,AI Operational Optimization (FACILITY),facility,high,0.75,48,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-05-04T08:09:00
AI-DEC-018,Restricted Zone Entry Warning,security,high,0.9,76,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-21T22:03:00
AI-DEC-019,AI Operational Optimization (EMERGENCY),emergency,medium,0.9,29,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-15T21:14:00
AI-DEC-020,AI Operational Optimization (FACILITY),facility,low,0.78,11,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-06T10:32:00
AI-DEC-021,AI Operational Optimization (FACILITY),facility,low,0.97,22,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-09T18:20:00
AI-DEC-022,AI Operational Optimization (EMERGENCY),emergency,high,0.76,54,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-06T22:46:00
AI-DEC-023,AI Operational Optimization (WEATHER),weather,low,0.96,36,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-23T09:35:00
AI-DEC-024,AI Operational Optimization (FACILITY),facility,low,0.86,40,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-05-06T00:26:00
AI-DEC-025,AI Operational Optimization (FACILITY),facility,medium,0.91,36,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-16T11:02:00
AI-DEC-026,Gate B Congestion Re-routing,crowd,high,0.97,48,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,rejected,2026-04-10T05:57:00
AI-DEC-027,AI Operational Optimization (WEATHER),weather,medium,0.79,24,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-05-05T17:20:00
AI-DEC-028,Gate B Congestion Re-routing,crowd,high,0.78,60,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,executed,2026-04-24T10:52:00
AI-DEC-029,AI Operational Optimization (EMERGENCY),emergency,low,0.91,38,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-05-02T21:51:00
AI-DEC-030,Restricted Zone Entry Warning,security,low,0.92,35,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-14T00:13:00
AI-DEC-031,Restricted Zone Entry Warning,security,low,0.91,37,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-08T23:18:00
AI-DEC-032,AI Operational Optimization (EMERGENCY),emergency,medium,0.97,30,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-13T10:26:00
AI-DEC-033,AI Operational Optimization (EMERGENCY),emergency,low,0.86,31,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-02T00:38:00
AI-DEC-034,AI Operational Optimization (EMERGENCY),emergency,low,0.84,13,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-02T22:01:00
AI-DEC-035,Restricted Zone Entry Warning,security,high,0.97,93,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,approved,2026-04-01T17:21:00
AI-DEC-036,AI Operational Optimization (WEATHER),weather,medium,0.99,37,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-15T02:01:00
AI-DEC-037,Restricted Zone Entry Warning,security,medium,0.97,40,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-19T16:18:00
AI-DEC-038,AI Operational Optimization (WEATHER),weather,low,0.92,31,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-24T00:58:00
AI-DEC-039,Restricted Zone Entry Warning,security,medium,0.78,28,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-03T04:39:00
AI-DEC-040,AI Operational Optimization (EMERGENCY),emergency,high,0.8,69,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-14T04:35:00
AI-DEC-041,Restricted Zone Entry Warning,security,high,0.85,46,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,approved,2026-05-01T18:41:00
AI-DEC-042,AI Operational Optimization (FACILITY),facility,low,0.97,37,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-05-03T18:16:00
AI-DEC-043,Restricted Zone Entry Warning,security,low,0.79,19,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-13T14:44:00
AI-DEC-044,AI Operational Optimization (EMERGENCY),emergency,low,0.78,31,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-05-05T10:11:00
AI-DEC-045,AI Operational Optimization (EMERGENCY),emergency,medium,0.96,28,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-28T01:55:00
AI-DEC-046,AI Operational Optimization (FACILITY),facility,medium,0.86,10,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-20T11:16:00
AI-DEC-047,Gate B Congestion Re-routing,crowd,low,0.78,10,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,approved,2026-04-04T13:24:00
AI-DEC-048,Restricted Zone Entry Warning,security,medium,0.98,32,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-04-07T09:28:00
AI-DEC-049,Restricted Zone Entry Warning,security,low,0.78,21,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-23T08:35:00
AI-DEC-050,AI Operational Optimization (EMERGENCY),emergency,medium,0.89,13,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-24T09:58:00
AI-DEC-051,Restricted Zone Entry Warning,security,high,0.88,82,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,pending,2026-04-27T16:00:00
AI-DEC-052,AI Operational Optimization (FACILITY),facility,low,0.83,14,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-19T11:04:00
AI-DEC-053,AI Operational Optimization (FACILITY),facility,low,0.8,31,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-05-05T14:59:00
AI-DEC-054,AI Operational Optimization (WEATHER),weather,low,0.83,26,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-25T01:04:00
AI-DEC-055,Gate B Congestion Re-routing,crowd,low,0.81,33,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,executed,2026-04-14T12:08:00
AI-DEC-056,AI Operational Optimization (WEATHER),weather,medium,0.93,24,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-19T16:55:00
AI-DEC-057,Gate B Congestion Re-routing,crowd,low,0.78,27,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,pending,2026-04-22T19:10:00
AI-DEC-058,AI Operational Optimization (EMERGENCY),emergency,low,0.8,37,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-03T09:29:00
AI-DEC-059,AI Operational Optimization (WEATHER),weather,high,0.97,75,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-17T10:20:00
AI-DEC-060,AI Operational Optimization (FACILITY),facility,high,0.96,46,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-05T00:12:00
AI-DEC-061,Restricted Zone Entry Warning,security,low,0.82,35,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-04-30T09:05:00
AI-DEC-062,Restricted Zone Entry Warning,security,medium,0.78,18,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-22T07:43:00
AI-DEC-063,Restricted Zone Entry Warning,security,medium,0.78,13,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,approved,2026-04-19T12:00:00
AI-DEC-064,Restricted Zone Entry Warning,security,medium,0.78,16,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,pending,2026-04-29T05:21:00
AI-DEC-065,Restricted Zone Entry Warning,security,medium,0.98,29,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-05-04T10:35:00
AI-DEC-066,AI Operational Optimization (FACILITY),facility,low,0.88,28,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-26T01:06:00
AI-DEC-067,Restricted Zone Entry Warning,security,low,0.83,17,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,approved,2026-04-28T03:42:00
AI-DEC-068,AI Operational Optimization (EMERGENCY),emergency,low,0.8,33,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-10T13:58:00
AI-DEC-069,Restricted Zone Entry Warning,security,low,0.76,27,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,pending,2026-05-01T00:55:00
AI-DEC-070,Restricted Zone Entry Warning,security,low,0.78,38,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,pending,2026-04-12T11:34:00
AI-DEC-071,AI Operational Optimization (EMERGENCY),emergency,medium,0.86,33,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-07T16:40:00
AI-DEC-072,Restricted Zone Entry Warning,security,low,0.9,16,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-04-30T00:27:00
AI-DEC-073,Gate B Congestion Re-routing,crowd,medium,0.78,13,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,approved,2026-04-28T12:10:00
AI-DEC-074,AI Operational Optimization (WEATHER),weather,low,0.81,27,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-22T21:20:00
AI-DEC-075,Gate B Congestion Re-routing,crowd,high,0.95,64,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,rejected,2026-04-25T15:47:00
AI-DEC-076,AI Operational Optimization (EMERGENCY),emergency,medium,0.77,14,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-05-01T20:04:00
AI-DEC-077,AI Operational Optimization (FACILITY),facility,low,0.94,22,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-07T07:28:00
AI-DEC-078,Restricted Zone Entry Warning,security,medium,0.94,21,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-04-30T18:00:00
AI-DEC-079,AI Operational Optimization (FACILITY),facility,high,0.88,45,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-30T16:48:00
AI-DEC-080,AI Operational Optimization (WEATHER),weather,high,0.76,79,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-24T02:57:00
AI-DEC-081,Restricted Zone Entry Warning,security,medium,0.97,39,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,executed,2026-04-12T05:43:00
AI-DEC-082,Restricted Zone Entry Warning,security,medium,0.99,36,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-04-12T07:13:00
AI-DEC-083,AI Operational Optimization (FACILITY),facility,medium,0.77,34,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-20T08:01:00
AI-DEC-084,AI Operational Optimization (WEATHER),weather,low,0.93,18,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-05-04T14:19:00
AI-DEC-085,Gate B Congestion Re-routing,crowd,high,0.95,67,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,approved,2026-04-14T02:52:00
AI-DEC-086,AI Operational Optimization (WEATHER),weather,medium,0.86,13,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-22T17:40:00
AI-DEC-087,Gate B Congestion Re-routing,crowd,low,0.89,20,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,executed,2026-04-29T23:23:00
AI-DEC-088,AI Operational Optimization (EMERGENCY),emergency,low,0.9,18,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-05-02T16:21:00
AI-DEC-089,AI Operational Optimization (EMERGENCY),emergency,low,0.79,38,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-05-02T18:06:00
AI-DEC-090,AI Operational Optimization (FACILITY),facility,medium,0.96,31,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-23T04:00:00
AI-DEC-091,AI Operational Optimization (FACILITY),facility,medium,0.78,36,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-28T05:51:00
AI-DEC-092,Gate B Congestion Re-routing,crowd,high,0.83,80,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,executed,2026-04-26T06:42:00
AI-DEC-093,Gate B Congestion Re-routing,crowd,high,0.86,54,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,approved,2026-04-04T14:41:00
AI-DEC-094,AI Operational Optimization (FACILITY),facility,low,0.79,39,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-05T01:38:00
AI-DEC-095,Gate B Congestion Re-routing,crowd,low,0.8,11,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,executed,2026-04-23T21:26:00
AI-DEC-096,AI Operational Optimization (WEATHER),weather,high,0.85,71,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-05-01T22:47:00
AI-DEC-097,AI Operational Optimization (WEATHER),weather,low,0.81,22,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-03T21:22:00
AI-DEC-098,AI Operational Optimization (EMERGENCY),emergency,high,0.96,73,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-29T21:05:00
AI-DEC-099,Restricted Zone Entry Warning,security,low,0.84,31,Thermal camera detection of individual in Restricted Zone 4 near Player Dressing Room corridor.,Unauthorized individual could access secure player areas within 2 minutes.,Deploy nearest security team to intercept and verify credentials.,rejected,2026-05-05T22:27:00
AI-DEC-100,AI Operational Optimization (WEATHER),weather,medium,0.93,25,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-27T05:53:00
AI-DEC-101,AI Operational Optimization (FACILITY),facility,high,0.92,95,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-25T05:27:00
AI-DEC-102,AI Operational Optimization (EMERGENCY),emergency,low,0.95,35,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,executed,2026-04-12T08:49:00
AI-DEC-103,AI Operational Optimization (EMERGENCY),emergency,medium,0.87,11,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-14T03:22:00
AI-DEC-104,AI Operational Optimization (FACILITY),facility,critical,0.86,51,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-09T20:26:00
AI-DEC-105,AI Operational Optimization (WEATHER),weather,high,0.94,60,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-26T15:16:00
AI-DEC-106,Gate B Congestion Re-routing,crowd,high,0.89,88,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,pending,2026-04-17T09:25:00
AI-DEC-107,Gate B Congestion Re-routing,crowd,high,0.83,92,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,pending,2026-04-22T16:48:00
