assignment_id,staff_id,shift_id,zone_id,task_description,status
40,144,235,40,Perform Security duties in assigned zone area.,In Progress
41,534,238,34,Perform Medical duties in assigned zone area.,Completed
42,149,150,11,Perform Guest Services duties in assigned zone area.,Scheduled
43,885,212,13,Perform Guest Services duties in assigned zone area.,Completed
44,1110,130,13,Perform Crowd Control duties in assigned zone area.,In Progress
45,331,184,32,Perform Crowd Control duties in assigned zone area.,In Progress
46,1242,175,30,Perform Crowd Control duties in assigned zone area.,Completed
47,271,176,32,Perform Medical duties in assigned zone area.,Completed
48,872,149,38,Perform Crowd Control duties in assigned zone area.,In Progress
49,180,182,40,Perform Facilities duties in assigned zone area.,In Progress
50,1050,143,25,Perform Facilities duties in assigned zone area.,In Progress
51,955,143,3,Perform Security duties in assigned zone area.,In Progress
52,587,161,40,Perform Medical duties in assigned zone area.,In Progress
53,1239,201,8,Perform Guest Services duties in assigned zone area.,Scheduled
54,1309,103,9,Perform Administration duties in assigned zone area.,In Progress
55,207,104,34,Perform Crowd Control duties in assigned zone area.,In Progress
56,836,175,31,Perform Guest Services duties in assigned zone area.,Completed
57,874,115,25,Perform Administration duties in assigned zone area.,Completed
58,19,167,10,Perform Facilities duties in assigned zone area.,In Progress
59,74,181,30,Perform Crowd Control duties in assigned zone area.,In Progress
60,1363,148,21,Perform Guest Services duties in assigned zone area.,Completed
61,957,111,14,Perform Facilities duties in assigned zone area.,In Progress
62,1150,174,35,Perform Guest Services duties in assigned zone area.,In Progress
63,1344,143,5,Perform Security duties in assigned zone area.,Completed
64,1167,181,35,Perform Crowd Control duties in assigned zone area.,In Progress
65,643,161,38,Perform Crowd Control duties in assigned zone area.,In Progress
66,642,148,7,Perform Crowd Control duties in assigned zone area.,In Progress
67,970,140,32,Perform Security duties in assigned zone area.,In Progress
68,334,121,32,Perform Medical duties in assigned zone area.,In Progress
69,1327,127,2,Perform Guest Services duties in assigned zone area.,In Progress
70,1392,162,28,Perform Guest Services duties in assigned zone area.,Completed
71,727,157,37,Perform Facilities duties in assigned zone area.,In Progress
72,156,212,19,Perform Facilities duties in assigned zone area.,Completed
73,735,140,9,Perform Security duties in assigned zone area.,In Progress
74,261,201,3,Perform Crowd Control duties in assigned zone area.,Completed
75,630,184,4,Perform Administration duties in assigned zone area.,In Progress
76,224,146,25,Perform Crowd Control duties in assigned zone area.,In Progress
77,1301,184,25,Perform Crowd Control duties in assigned zone area.,In Progress
78,1013,159,33,Perform Medical duties in assigned zone area.,Completed
79,1267,170,31,Perform Guest Services duties in assigned zone area.,Completed
80,783,207,10,Perform Medical duties in assigned zone area.,Absent
81,1461,246,19,Perform Crowd Control duties in assigned zone area.,Scheduled
82,860,140,15,Perform Guest Services duties in assigned zone area.,In Progress
83,385,210,5,Perform Security duties in assigned zone area.,Completed
84,886,193,33,Perform Security duties in assigned zone area.,Completed
85,161,187,20,Perform Medical duties in assigned zone area.,Scheduled
86,330,237,15,Perform Facilities duties in assigned zone area.,In Progress
87,836,240,3,Perform Guest Services duties in assigned zone area.,In Progress
88,510,120,29,Perform Guest Services duties in assigned zone area.,Completed
89,365,241,6,Perform Guest Services duties in assigned zone area.,In Progress
90,186,113,31,Perform Facilities duties in assigned zone area.,Completed
91,703,243,38,Perform Medical duties in assigned zone area.,In Progress
92,350,144,28,Perform Administration duties in assigned zone area.,In Progress
93,787,225,19,Perform Security duties in assigned zone area.,In Progress
94,228,230,1,Perform Administration duties in assigned zone area.,In Progress
95,941,187,38,Perform Crowd Control duties in assigned zone area.,In Progress
96,1289,109,5,Perform Administration duties in assigned zone area.,Completed
97,659,163,24,Perform Security duties in assigned zone area.,In Progress
98,1198,234,17,Perform Facilities duties in assigned zone area.,In Progress
99,224,107,33,Perform Crowd Control duties in assigned zone area.,Completed
100,808,203,26,Perform Administration duties in assigned zone area.,In Progress
101,244,178,31,Perform Crowd Control duties in assigned zone area.,Completed
102,1121,224,16,Perform Administration duties in assigned zone area.,In Progress
103,1306,160,4,Perform Facilities duties in assigned zone area.,Completed
104,1157,142,24,Perform Administration duties in assigned zone area.,Completed
105,845,242,12,Perform Administration duties in assigned zone area.,In Progress
106,333,209,25,Perform Security duties in assigned zone area.,Completed
107,13,102,22,Perform Guest Services duties in assigned zone area.,In Progress
108,784,217,16,Perform Facilities duties in assigned zone area.,Completed
109,1470,207,18,Perform Medical duties in assigned zone area.,Completed
110,696,230,21,Perform Crowd Control duties in assigned zone area.,Completed
111,455,121,8,Perform Administration duties in assigned zone area.,Completed
112,88,129,12,Perform Guest Services duties in assigned zone area.,In Progress
113,539,142,20,Perform Security duties in assigned zone area.,In Progress
114,234,243,11,Perform Security duties in assigned zone area.,In Progress
115,843,231,20,Perform Guest Services duties in assigned zone area.,In Progress
116,941,229,28,Perform Crowd Control duties in assigned zone area.,Scheduled
117,1015,124,17,Perform Crowd Control duties in assigned zone area.,Completed
118,571,242,2,Perform Facilities duties in assigned zone area.,Completed
119,1205,138,36,Perform Facilities duties in assigned zone area.,In Progress
120,1283,248,37,Perform Guest Services duties in assigned zone area.,In Progress
121,950,116,25,Perform Security duties in assigned zone area.,In Progress
122,1332,152,17,Perform Facilities duties in assigned zone area.,Completed
123,611,244,4,Perform Security duties in assigned zone area.,In Progress
124,1094,203,13,Perform Administration duties in assigned zone area.,In Progress
125,1492,128,16,Perform Facilities duties in assigned zone area.,Completed
126,291,125,22,Perform Facilities duties in assigned zone area.,Completed
127,200,208,29,Perform Medical duties in assigned zone area.,In Progress
128,515,170,22,Perform Crowd Control duties in assigned zone area.,Completed
129,1088,118,36,Perform Facilities duties in assigned zone area.,In Progress
130,537,227,15,Perform Guest Services duties in assigned zone area.,Completed
131,346,128,9,Perform Administration duties in assigned zone area.,Completed
132,422,231,34,Perform Guest Services duties in assigned zone area.,Completed
133,418,230,32,Perform Security duties in assigned zone area.,Completed
134,669,230,36,Perform Guest Services duties in assigned zone area.,Scheduled
135,648,179,12,Perform Security duties in assigned zone area.,Completed
136,1239,126,30,Perform Guest Services duties in assigned zone area.,Completed
137,314,237,39,Perform Security duties in assigned zone area.,Completed
138,467,143,19,Perform Facilities duties in assigned zone area.,In Progress
139,317,191,15,Perform Administration duties in assigned zone area.,Completed
140,303,213,31,Perform Security duties in assigned zone area.,Completed
141,524,150,1,Perform Crowd Control duties in assigned zone area.,Completed
142,782,216,25,Perform Crowd Control duties in assigned zone area.,In Progress
143,589,129,25,Perform Facilities duties in assigned zone area.,Scheduled
144,949,208,1,Perform Medical duties in assigned zone area.,In Progress
145,410,123,29,Perform Security duties in assigned zone area.,In Progress
146,1224,225,11,Perform Security duties in assigned zone area.,Completed
147,843,221,28,Perform Guest Services duties in assigned zone area.,Completed
148,1175,245,28,Perform Security duties in assigned zone area.,Completed
149,1455,163,35,Perform Guest Services duties in assigned zone area.,Completed
150,726,221,39,Perform Administration duties in assigned zone area.,In Progress
151,675,145,34,Perform Administration duties in assigned zone area.,Completed
152,1244,131,1,Perform Security duties in assigned zone area.,Completed
153,571,177,39,Perform Facilities duties in assigned zone area.,Completed
154,746,247,28,Perform Security duties in assigned zone area.,Completed
155,863,243,12,Perform Guest Services duties in assigned zone area.,Completed
156,4,184,3,Perform Crowd Control duties in assigned zone area.,In Progress
157,302,136,26,Perform Security duties in assigned zone area.,In Progress
158,1242,175,11,Perform Crowd Control duties in assigned zone area.,Completed
159,256,152,35,Perform Crowd Control duties in assigned zone area.,Completed
160,432,134,15,Perform Medical duties in assigned zone area.,In Progress
161,439,221,18,Perform Crowd Control duties in assigned zone area.,Completed
162,968,234,32,Perform Facilities duties in assigned zone area.,Completed
163,95,237,12,Perform Medical duties in assigned zone area.,Completed
164,823,102,21,Perform Medical duties in assigned zone area.,In Progress
165,616,132,29,Perform Security duties in assigned zone area.,In Progress
166,641,239,20,Perform Guest Services duties in assigned zone area.,Completed
167,313,162,29,Perform Crowd Control duties in assigned zone area.,Completed
168,314,235,1,Perform Security duties in assigned zone area.,Completed
169,1052,154,30,Perform Medical duties in assigned zone area.,Completed
170,1172,159,28,Perform Facilities duties in assigned zone area.,Completed
171,1095,193,23,Perform Administration duties in assigned zone area.,Completed
172,38,153,30,Perform Medical duties in assigned zone area.,In Progress
173,859,213,29,Perform Facilities duties in assigned zone area.,Completed
174,449,209,40,Perform Administration duties in assigned zone area.,Completed
175,1380,127,1,Perform Guest Services duties in assigned zone area.,Completed
176,1327,187,5,Perform Guest Services duties in assigned zone area.,Completed
177,1473,172,3,Perform Medical duties in assigned zone area.,Completed
178,974,199,7,Perform Administration duties in assigned zone area.,Completed
179,1153,225,34,Perform Facilities duties in assigned zone area.,In Progress
180,354,210,7,Perform Guest Services duties in assigned zone area.,Completed
181,1312,173,15,Perform Guest Services duties in assigned zone area.,Completed
182,115,125,40,Perform Facilities duties in assigned zone area.,Scheduled
183,1023,187,31,Perform Medical duties in assigned zone area.,Scheduled
184,770,101,21,Perform Crowd Control duties in assigned zone area.,Completed
185,735,119,23,Perform Security duties in assigned zone area.,In Progress
186,615,137,28,Perform Crowd Control duties in assigned zone area.,Completed
187,493,152,38,Perform Facilities duties in assigned zone area.,Scheduled
188,762,202,11,Perform Facilities duties in assigned zone area.,Completed
189,157,246,14,Perform Guest Services duties in assigned zone area.,Completed
190,193,246,10,Perform Guest Services duties in assigned zone area.,Scheduled
191,577,113,18,Perform Crowd Control duties in assigned zone area.,Completed
192,1400,188,2,Perform Guest Services duties in assigned zone area.,Completed
193,1346,198,32,Perform Crowd Control duties in assigned zone area.,In Progress
194,872,119,6,Perform Crowd Control duties in assigned zone area.,Scheduled
195,1263,174,18,Perform Facilities duties in assigned zone area.,Scheduled
196,276,199,18,Perform Medical duties in assigned zone area.,In Progress
197,664,180,37,Perform Crowd Control duties in assigned zone area.,Completed
198,457,166,5,Perform Security duties in assigned zone area.,Completed
199,1161,120,17,Perform Medical duties in assigned zone area.,In Progress
200,1290,128,1,Perform Crowd Control duties in assigned zone area.,In Progress
201,911,160,17,Perform Administration duties in assigned zone area.,Completed
202,1072,205,4,Perform Guest Services duties in assigned zone area.,In Progress
203,943,227,8,Perform Guest Services duties in assigned zone area.,Completed
204,867,196,5,Perform Medical duties in assigned zone area.,In Progress
205,1357,208,24,Perform Medical duties in assigned zone area.,Completed
206,1013,143,15,Perform Medical duties in assigned zone area.,Completed
207,547,130,37,Perform Crowd Control duties in assigned zone area.,Absent
208,864,164,39,Perform Security duties in assigned zone area.,In Progress
209,1458,164,28,Perform Guest Services duties in assigned zone area.,Scheduled
210,200,239,16,Perform Medical duties in assigned zone area.,In Progress
211,1087,238,34,Perform Crowd Control duties in assigned zone area.,Absent
212,1001,212,19,Perform Security duties in assigned zone area.,In Progress
213,1404,209,37,Perform Guest Services duties in assigned zone area.,Completed
214,161,231,16,Perform Medical duties in assigned zone area.,In Progress
215,1134,153,33,Perform Facilities duties in assigned zone area.,Completed
216,1078,160,25,Perform Facilities duties in assigned zone area.,Completed
217,267,141,18,Perform Facilities duties in assigned zone area.,Completed
218,595,138,8,Perform Guest Services duties in assigned zone area.,In Progress
219,774,214,28,Perform Guest Services duties in assigned zone area.,Scheduled
220,975,189,35,Perform Facilities duties in assigned zone area.,In Progress
221,637,161,5,Perform Security duties in assigned zone area.,Completed
222,185,119,29,Perform Administration duties in assigned zone area.,Completed
223,461,192,3,Perform Crowd Control duties in assigned zone area.,Completed
224,1347,184,19,Perform Crowd Control duties in assigned zone area.,Completed
225,941,192,5,Perform Crowd Control duties in assigned zone area.,In Progress
226,724,179,35,Perform Medical duties in assigned zone area.,Completed
227,578,190,30,Perform Security duties in assigned zone area.,Scheduled
228,980,244,22,Perform Administration duties in assigned zone area.,Completed
229,1476,148,6,Perform Administration duties in assigned zone area.,Completed
230,882,213,16,Perform Guest Services duties in assigned zone area.,Completed
231,1324,160,36,Perform Medical duties in assigned zone area.,In Progress
232,151,107,2,Perform Crowd Control duties in assigned zone area.,Completed
233,896,137,4,Perform Administration duties in assigned zone area.,Completed
234,476,204,7,Perform Facilities duties in assigned zone area.,Completed
235,76,167,26,Perform Administration duties in assigned zone area.,Scheduled
236,526,184,22,Perform Facilities duties in assigned zone area.,Scheduled
237,1144,233,33,Perform Administration duties in assigned zone area.,Completed
238,325,234,7,Perform Medical duties in assigned zone area.,Completed
239,517,245,9,Perform Security duties in assigned zone area.,In Progress
240,534,213,21,Perform Medical duties in assigned zone area.,In Progress
241,839,117,37,Perform Medical duties in assigned zone area.,In Progress
242,1220,183,24,Perform Facilities duties in assigned zone area.,Completed
243,20,181,2,Perform Medical duties in assigned zone area.,In Progress
244,596,221,21,Perform Administration duties in assigned zone area.,Scheduled
245,1219,194,19,Perform Medical duties in assigned zone area.,Completed
246,1275,239,9,Perform Guest Services duties in assigned zone area.,In Progress
247,602,110,39,Perform Crowd Control duties in assigned zone area.,In Progress
248,578,184,19,Perform Security duties in assigned zone area.,Completed
249,936,219,40,Perform Guest Services duties in assigned zone area.,Completed
250,1189,183,17,Perform Medical duties in assigned zone area.,In Progress
251,343,140,33,Perform Facilities duties in assigned zone area.,In Progress
252,1265,160,9,Perform Medical duties in assigned zone area.,Completed
253,362,181,30,Perform Security duties in assigned zone area.,Completed
254,334,229,7,Perform Medical duties in assigned zone area.,Completed
255,498,181,12,Perform Security duties in assigned zone area.,Completed
256,571,222,8,Perform Facilities duties in assigned zone area.,Completed
257,1061,243,4,Perform Guest Services duties in assigned zone area.,In Progress
258,1171,224,19,Perform Crowd Control duties in assigned zone area.,In Progress
259,422,141,24,Perform Guest Services duties in assigned zone area.,In Progress
260,182,198,5,Perform Administration duties in assigned zone area.,In Progress
261,237,234,22,Perform Facilities duties in assigned zone area.,Completed
262,30,181,22,Perform Administration duties in assigned zone area.,Scheduled
263,1483,111,4,Perform Administration duties in assigned zone area.,Completed
264,606,148,6,Perform Facilities duties in assigned zone area.,Completed
265,1328,180,7,Perform Guest Services duties in assigned zone area.,Completed
266,863,136,25,Perform Guest Services duties in assigned zone area.,In Progress
267,1165,232,34,Perform Administration duties in assigned zone area.,In Progress
268,1260,241,29,Perform Administration duties in assigned zone area.,Completed
269,194,149,17,Perform Facilities duties in assigned zone area.,In Progress
270,1268,157,35,Perform Medical duties in assigned zone area.,In Progress
271,1213,129,15,Perform Medical duties in assigned zone area.,Absent
272,708,223,24,Perform Facilities duties in assigned zone area.,Scheduled
273,236,221,21,Perform Administration duties in assigned zone area.,In Progress
274,218,124,26,Perform Guest Services duties in assigned zone area.,In Progress
275,911,152,15,Perform Administration duties in assigned zone area.,Completed
276,766,174,15,Perform Medical duties in assigned zone area.,Completed
277,1224,146,17,Perform Security duties in assigned zone area.,In Progress
278,288,101,19,Perform Facilities duties in assigned zone area.,Completed
279,597,241,33,Perform Security duties in assigned zone area.,Completed
280,150,133,15,Perform Administration duties in assigned zone area.,In Progress
281,61,215,9,Perform Crowd Control duties in assigned zone area.,Completed
282,591,177,12,Perform Crowd Control duties in assigned zone area.,Completed
283,1022,103,5,Perform Guest Services duties in assigned zone area.,In Progress
284,1126,109,19,Perform Security duties in assigned zone area.,Scheduled
285,154,222,13,Perform Security duties in assigned zone area.,Completed
286,136,153,18,Perform Administration duties in assigned zone area.,In Progress
287,1284,205,22,Perform Medical duties in assigned zone area.,In Progress
288,1002,126,24,Perform Crowd Control duties in assigned zone area.,Completed
289,877,207,27,Perform Security duties in assigned zone area.,Completed
290,238,243,15,Perform Crowd Control duties in assigned zone area.,Completed
291,960,173,2,Perform Crowd Control duties in assigned zone area.,Completed
292,1061,219,31,Perform Guest Services duties in assigned zone area.,In Progress
293,1186,233,20,Perform Administration duties in assigned zone area.,Completed
294,1500,124,5,Perform Security duties in assigned zone area.,Scheduled
295,369,237,3,Perform Administration duties in assigned zone area.,Scheduled
296,1171,121,33,Perform Crowd Control duties in assigned zone area.,Absent
297,1186,152,3,Perform Administration duties in assigned zone area.,In Progress
298,123,158,40,Perform Facilities duties in assigned zone area.,Scheduled
299,1199,119,30,Perform Security duties in assigned zone area.,In Progress
300,763,211,4,Perform Medical duties in assigned zone area.,Completed
301,367,182,6,Perform Guest Services duties in assigned zone area.,Completed
302,514,210,40,Perform Crowd Control duties in assigned zone area.,Completed
303,1115,111,20,Perform Facilities duties in assigned zone area.,Completed
304,1307,159,7,Perform Medical duties in assigned zone area.,Completed
305,636,179,40,Perform Facilities duties in assigned zone area.,In Progress
306,893,182,36,Perform Security duties in assigned zone area.,Completed
307,367,170,37,Perform Guest Services duties in assigned zone area.,In Progress
308,1042,127,23,Perform Guest Services duties in assigned zone area.,Scheduled
309,1142,241,3,Perform Medical duties in assigned zone area.,In Progress
310,1140,234,26,Perform Guest Services duties in assigned zone area.,Completed
311,758,232,11,Perform Guest Services duties in assigned zone area.,Completed
312,933,196,27,Perform Security duties in assigned zone area.,In Progress
313,1448,134,25,Perform Administration duties in assigned zone area.,Completed
314,205,102,38,Perform Security duties in assigned zone area.,Completed
315,734,136,31,Perform Facilities duties in assigned zone area.,Completed
316,5,213,19,Perform Medical duties in assigned zone area.,Completed
317,1197,201,4,Perform Guest Services duties in assigned zone area.,Completed
318,1438,121,8,Perform Guest Services duties in assigned zone area.,Scheduled
319,791,200,40,Perform Facilities duties in assigned zone area.,Completed
320,623,167,27,Perform Facilities duties in assigned zone area.,In Progress
321,294,201,1,Perform Facilities duties in assigned zone area.,In Progress
322,230,130,36,Perform Administration duties in assigned zone area.,Completed
323,320,153,18,Perform Administration duties in assigned zone area.,In Progress
324,895,219,3,Perform Crowd Control duties in assigned zone area.,Completed
325,1341,113,32,Perform Administration duties in assigned zone area.,In Progress
326,992,116,30,Perform Guest Services duties in assigned zone area.,Completed
327,1385,174,7,Perform Crowd Control duties in assigned zone area.,Completed
328,417,187,27,Perform Crowd Control duties in assigned zone area.,In Progress
329,951,227,35,Perform Medical duties in assigned zone area.,Completed
330,122,212,9,Perform Medical duties in assigned zone area.,In Progress
331,729,122,14,Perform Medical duties in assigned zone area.,Completed
332,1252,228,5,Perform Guest Services duties in assigned zone area.,In Progress
333,1422,129,22,Perform Security duties in assigned zone area.,Completed
334,736,193,24,Perform Administration duties in assigned zone area.,In Progress
335,834,110,17,Perform Guest Services duties in assigned zone area.,In Progress
336,1444,209,4,Perform Facilities duties in assigned zone area.,Completed
337,139,156,6,Perform Crowd Control duties in assigned zone area.,Completed
338,531,185,35,Perform Facilities duties in assigned zone area.,Completed
339,733,196,20,Perform Crowd Control duties in assigned zone area.,In Progress
340,862,230,39,Perform Administration duties in assigned zone area.,In Progress
341,464,203,32,Perform Crowd Control duties in assigned zone area.,In Progress
342,1432,227,13,Perform Facilities duties in assigned zone area.,Completed
343,980,178,38,Perform Administration duties in assigned zone area.,Scheduled
344,313,224,24,Perform Crowd Control duties in assigned zone area.,In Progress
345,1294,193,12,Perform Facilities duties in assigned zone area.,Completed
346,630,173,10,Perform Administration duties in assigned zone area.,Completed
347,158,181,27,Perform Guest Services duties in assigned zone area.,Completed
348,266,152,23,Perform Security duties in assigned zone area.,In Progress
349,1054,236,36,Perform Facilities duties in assigned zone area.,In Progress
350,928,105,4,Perform Medical duties in assigned zone area.,In Progress
351,888,127,22,Perform Security duties in assigned zone area.,In Progress
352,566,238,29,Perform Security duties in assigned zone area.,In Progress
353,1179,109,32,Perform Administration duties in assigned zone area.,In Progress
354,1454,145,7,Perform Crowd Control duties in assigned zone area.,In Progress
355,14,249,40,Perform Crowd Control duties in assigned zone area.,Completed
356,893,138,20,Perform Security duties in assigned zone area.,Completed
357,785,187,39,Perform Medical duties in assigned zone area.,Completed
358,1051,219,5,Perform Administration duties in assigned zone area.,Completed
359,295,249,31,Perform Guest Services duties in assigned zone area.,In Progress
360,1338,246,13,Perform Medical duties in assigned zone area.,Completed
361,1454,151,37,Perform Crowd Control duties in assigned zone area.,Absent
362,1104,196,8,Perform Medical duties in assigned zone area.,In Progress
363,477,146,21,Perform Administration duties in assigned zone area.,Completed
364,971,145,19,Perform Crowd Control duties in assigned zone area.,In Progress
365,651,160,25,Perform Administration duties in assigned zone area.,Completed
366,957,249,26,Perform Facilities duties in assigned zone area.,In Progress
367,344,200,26,Perform Guest Services duties in assigned zone area.,In Progress
368,1305,169,37,Perform Facilities duties in assigned zone area.,Scheduled
369,649,249,32,Perform Security duties in assigned zone area.,Completed
370,691,194,24,Perform Crowd Control duties in assigned zone area.,Completed
371,1219,175,11,Perform Medical duties in assigned zone area.,Completed
372,277,224,4,Perform Medical duties in assigned zone area.,Completed
373,854,147,16,Perform Crowd Control duties in assigned zone area.,Completed
374,1150,245,9,Perform Guest Services duties in assigned zone area.,In Progress
375,978,187,11,Perform Facilities duties in assigned zone area.,Completed
376,550,131,23,Perform Guest Services duties in assigned zone area.,Completed
377,796,116,29,Perform Security duties in assigned zone area.,In Progress
378,397,165,14,Perform Medical duties in assigned zone area.,In Progress
379,930,120,33,Perform Administration duties in assigned zone area.,Completed
380,1246,165,28,Perform Medical duties in assigned zone area.,Completed
381,1069,177,6,Perform Administration duties in assigned zone area.,Completed
382,907,123,17,Perform Guest Services duties in assigned zone area.,Completed
383,632,169,3,Perform Medical duties in assigned zone area.,In Progress
384,322,141,17,Perform Medical duties in assigned zone area.,Completed
385,605,168,14,Perform Crowd Control duties in assigned zone area.,In Progress
386,845,224,13,Perform Administration duties in assigned zone area.,In Progress
387,87,192,11,Perform Facilities duties in assigned zone area.,Absent
388,941,190,37,Perform Crowd Control duties in assigned zone area.,Completed
389,768,150,5,Perform Medical duties in assigned zone area.,In Progress
390,750,166,36,Perform Security duties in assigned zone area.,Completed
391,1297,156,3,Perform Medical duties in assigned zone area.,In Progress
392,1260,125,2,Perform Administration duties in assigned zone area.,Completed
393,1064,182,36,Perform Administration duties in assigned zone area.,In Progress
394,139,134,5,Perform Crowd Control duties in assigned zone area.,In Progress
395,1219,129,23,Perform Medical duties in assigned zone area.,Completed
396,1389,231,17,Perform Crowd Control duties in assigned zone area.,In Progress
397,1499,166,23,Perform Administration duties in assigned zone area.,Scheduled
398,1014,166,23,Perform Crowd Control duties in assigned zone area.,In Progress
399,61,246,3,Perform Crowd Control duties in assigned zone area.,Scheduled
400,527,232,24,Perform Crowd Control duties in assigned zone area.,Completed
401,1361,223,27,Perform Facilities duties in assigned zone area.,In Progress
402,849,240,40,Perform Administration duties in assigned zone area.,In Progress
403,408,184,18,Perform Crowd Control duties in assigned zone area.,Completed
404,1209,194,28,Perform Guest Services duties in assigned zone area.,Completed
405,291,129,34,Perform Facilities duties in assigned zone area.,In Progress
406,607,113,2,Perform Administration duties in assigned zone area.,Completed
407,1433,174,2,Perform Facilities duties in assigned zone area.,In Progress
408,1034,128,29,Perform Guest Services duties in assigned zone area.,Completed
409,1060,164,31,Perform Facilities duties in assigned zone area.,Completed
410,570,242,1,Perform Security duties in assigned zone area.,Completed
411,833,141,6,Perform Guest Services duties in assigned zone area.,In Progress
412,762,120,25,Perform Facilities duties in assigned zone area.,Completed
413,1425,224,16,Perform Administration duties in assigned zone area.,Completed
414,802,236,1,Perform Security duties in assigned zone area.,In Progress
415,964,190,25,Perform Medical duties in assigned zone area.,Absent
416,799,230,34,Perform Facilities duties in assigned zone area.,Absent
417,1481,111,34,Perform Medical duties in assigned zone area.,In Progress
418,736,152,5,Perform Administration duties in assigned zone area.,Completed
419,979,233,30,Perform Administration duties in assigned zone area.,In Progress
420,106,231,14,Perform Security duties in assigned zone area.,In Progress
421,569,162,29,Perform Crowd Control duties in assigned zone area.,Completed
422,878,120,12,Perform Crowd Control duties in assigned zone area.,In Progress
423,17,124,40,Perform Crowd Control duties in assigned zone area.,Completed
424,521,108,32,Perform Security duties in assigned zone area.,In Progress
425,495,101,24,Perform Security duties in assigned zone area.,Completed
426,422,147,19,Perform Guest Services duties in assigned zone area.,Scheduled
427,1456,166,16,Perform Medical duties in assigned zone area.,Scheduled
428,1456,237,6,Perform Medical duties in assigned zone area.,In Progress
429,496,144,5,Perform Medical duties in assigned zone area.,In Progress
430,237,181,9,Perform Facilities duties in assigned zone area.,Completed
431,165,247,2,Perform Medical duties in assigned zone area.,Completed
432,1230,144,15,Perform Security duties in assigned zone area.,Completed
433,944,108,33,Perform Facilities duties in assigned zone area.,In Progress
434,901,175,12,Perform Medical duties in assigned zone area.,Completed
435,755,241,27,Perform Medical duties in assigned zone area.,In Progress
436,1031,214,31,Perform Guest Services duties in assigned zone area.,Completed
437,1237,245,20,Perform Facilities duties in assigned zone area.,In Progress
438,29,142,38,Perform Crowd Control duties in assigned zone area.,Completed
439,1154,172,26,Perform Security duties in assigned zone area.,In Progress
440,1055,155,2,Perform Crowd Control duties in assigned zone area.,Scheduled
441,482,159,37,Perform Guest Services duties in assigned zone area.,Completed
442,1076,226,25,Perform Medical duties in assigned zone area.,In Progress
443,1105,123,15,Perform Facilities duties in assigned zone area.,In Progress
444,141,166,39,Perform Facilities duties in assigned zone area.,Completed
445,1449,183,30,Perform Administration duties in assigned zone area.,In Progress
446,527,196,7,Perform Crowd Control duties in assigned zone area.,Completed
447,453,180,3,Perform Administration duties in assigned zone area.,In Progress
448,1395,138,9,Perform Security duties in assigned zone area.,Completed
449,828,105,37,Perform Administration duties in assigned zone area.,In Progress
450,1357,105,28,Perform Medical duties in assigned zone area.,In Progress
451,1390,105,24,Perform Crowd Control duties in assigned zone area.,In Progress
452,1221,178,40,Perform Facilities duties in assigned zone area.,Completed
453,482,172,12,Perform Guest Services duties in assigned zone area.,In Progress
