scan_id,ticket_id,scan_time,gate_id,scanner_id,result,details
47,47,2026-05-21T21:05:00,7,SCN-7-2,Success,Access granted
48,48,2026-05-22T20:01:00,8,SCN-8-4,Success,Access granted
49,49,2026-05-23T17:00:00,11,SCN-11-3,Success,Access granted
50,50,2026-05-14T20:11:00,4,SCN-4-4,Success,Access granted
51,51,2026-05-15T19:16:00,12,SCN-12-3,Success,Access granted
52,52,2026-05-16T16:28:00,1,SCN-1-3,Success,Access granted
53,53,2026-05-17T20:50:00,9,SCN-9-2,Success,Access granted
54,54,2026-05-18T21:12:00,10,SCN-10-2,Success,Access granted
55,55,2026-05-19T19:23:00,10,SCN-10-1,Success,Access granted
56,56,2026-05-20T20:06:00,6,SCN-6-4,Success,Access granted
57,57,2026-05-21T21:48:00,11,SCN-11-4,Success,Access granted
58,58,2026-05-22T19:06:00,11,SCN-11-2,Success,Access granted
59,59,2026-05-23T16:37:00,8,SCN-8-4,Success,Access granted
60,60,2026-05-14T19:51:00,2,SCN-2-4,Success,Access granted
61,61,2026-05-15T20:41:00,13,SCN-13-4,Success,Access granted
62,62,2026-05-16T15:58:00,5,SCN-5-2,Success,Access granted
63,63,2026-05-17T20:10:00,10,SCN-10-3,Success,Access granted
64,64,2026-05-18T23:06:00,10,SCN-10-3,Success,Access granted
65,65,2026-05-19T19:22:00,11,SCN-11-4,Success,Access granted
66,66,2026-05-20T21:05:00,4,SCN-4-2,Success,Access granted
67,67,2026-05-21T23:10:00,11,SCN-11-3,Success,Access granted
68,68,2026-05-22T19:47:00,11,SCN-11-4,Success,Access granted
69,69,2026-05-23T15:55:00,11,SCN-11-2,Success,Access granted
70,70,2026-05-14T20:42:00,3,SCN-3-2,Success,Access granted
71,71,2026-05-15T20:59:00,15,SCN-15-2,Success,Access granted
72,72,2026-05-16T15:10:00,1,SCN-1-1,Success,Access granted
73,73,2026-05-17T19:16:00,8,SCN-8-3,Success,Access granted
74,74,2026-05-18T21:11:00,9,SCN-9-2,Success,Access granted
75,75,2026-05-19T20:34:00,8,SCN-8-4,Success,Access granted
76,76,2026-05-20T19:27:00,6,SCN-6-1,Success,Access granted
77,77,2026-05-21T22:31:00,9,SCN-9-3,Success,Access granted
78,78,2026-05-22T20:39:00,10,SCN-10-4,Success,Access granted
79,79,2026-05-23T15:08:00,9,SCN-9-3,Success,Access granted
80,80,2026-05-14T19:09:00,3,SCN-3-1,Success,Access granted
81,81,2026-05-15T19:34:00,14,SCN-14-3,Success,Access granted
82,82,2026-05-16T16:23:00,1,SCN-1-4,Success,Access granted
83,83,2026-05-17T21:11:00,8,SCN-8-3,Success,Access granted
84,84,2026-05-18T23:00:00,10,SCN-10-1,Success,Access granted
85,85,2026-05-19T20:52:00,11,SCN-11-1,Success,Access granted
86,86,2026-05-20T19:23:00,2,SCN-2-1,Success,Access granted
87,87,2026-05-21T22:44:00,7,SCN-7-1,Success,Access granted
88,88,2026-05-22T20:33:00,8,SCN-8-3,Success,Access granted
89,89,2026-05-23T15:41:00,11,SCN-11-3,Success,Access granted
90,90,2026-05-14T19:49:00,6,SCN-6-3,Success,Access granted
91,91,2026-05-15T20:46:00,16,SCN-16-4,Success,Access granted
92,92,2026-05-16T15:18:00,6,SCN-6-3,Success,Access granted
93,93,2026-05-17T20:29:00,7,SCN-7-1,Success,Access granted
94,94,2026-05-18T21:01:00,11,SCN-11-2,Success,Access granted
95,95,2026-05-19T21:08:00,9,SCN-9-3,Success,Access granted
96,96,2026-05-20T19:42:00,4,SCN-4-3,Success,Access granted
97,97,2026-05-21T22:59:00,9,SCN-9-4,Success,Access granted
98,98,2026-05-22T19:58:00,11,SCN-11-2,Success,Access granted
99,99,2026-05-23T15:31:00,9,SCN-9-4,Success,Access granted
100,100,2026-05-14T19:29:00,6,SCN-6-3,Suspicious Location,Access denied - flagged
101,101,2026-05-15T21:13:00,14,SCN-14-1,Success,Access granted
102,102,2026-05-16T15:48:00,2,SCN-2-1,Success,Access granted
103,103,2026-05-17T19:27:00,9,SCN-9-2,Success,Access granted
104,104,2026-05-18T22:51:00,9,SCN-9-1,Success,Access granted
105,105,2026-05-19T20:13:00,11,SCN-11-2,Success,Access granted
106,106,2026-05-20T20:29:00,6,SCN-6-2,Success,Access granted
107,107,2026-05-21T21:59:00,10,SCN-10-4,Success,Access granted
108,108,2026-05-22T19:10:00,8,SCN-8-1,Success,Access granted
109,109,2026-05-23T15:48:00,10,SCN-10-4,Success,Access granted
110,110,2026-05-14T19:39:00,1,SCN-1-4,Success,Access granted
111,111,2026-05-15T20:48:00,16,SCN-16-1,Success,Access granted
112,112,2026-05-16T16:34:00,3,SCN-3-4,Success,Access granted
113,113,2026-05-17T20:38:00,8,SCN-8-2,Success,Access granted
114,114,2026-05-18T22:16:00,9,SCN-9-2,Success,Access granted
115,115,2026-05-19T19:12:00,11,SCN-11-2,Success,Access granted
116,116,2026-05-20T21:10:00,6,SCN-6-3,Success,Access granted
117,117,2026-05-21T21:34:00,9,SCN-9-1,Success,Access granted
118,118,2026-05-22T19:37:00,10,SCN-10-1,Success,Access granted
119,119,2026-05-23T15:34:00,8,SCN-8-3,Success,Access granted
120,120,2026-05-14T19:59:00,2,SCN-2-3,Success,Access granted
121,121,2026-05-15T19:59:00,16,SCN-16-4,Success,Access granted
122,122,2026-05-16T16:56:00,2,SCN-2-2,Success,Access granted
123,123,2026-05-17T19:57:00,8,SCN-8-2,Success,Access granted
124,124,2026-05-18T22:02:00,10,SCN-10-2,Success,Access granted
125,125,2026-05-19T20:25:00,10,SCN-10-2,Success,Access granted
126,126,2026-05-20T20:07:00,5,SCN-5-2,Success,Access granted
127,127,2026-05-21T21:47:00,9,SCN-9-2,Success,Access granted
128,128,2026-05-22T20:07:00,8,SCN-8-2,Success,Access granted
129,129,2026-05-23T16:48:00,9,SCN-9-4,Success,Access granted
130,130,2026-05-14T20:30:00,3,SCN-3-1,Success,Access granted
131,131,2026-05-15T19:19:00,13,SCN-13-1,Success,Access granted
132,132,2026-05-16T15:40:00,3,SCN-3-4,Success,Access granted
133,133,2026-05-17T21:16:00,9,SCN-9-3,Success,Access granted
134,134,2026-05-18T21:19:00,9,SCN-9-3,Success,Access granted
135,135,2026-05-19T20:43:00,8,SCN-8-2,Success,Access granted
136,136,2026-05-20T19:33:00,4,SCN-4-4,Success,Access granted
137,137,2026-05-21T23:05:00,11,SCN-11-2,Success,Access granted
138,138,2026-05-22T20:00:00,10,SCN-10-2,Success,Access granted
139,139,2026-05-23T16:31:00,9,SCN-9-1,Success,Access granted
140,140,2026-05-14T19:15:00,3,SCN-3-1,Success,Access granted
141,141,2026-05-15T19:01:00,14,SCN-14-2,Success,Access granted
142,142,2026-05-16T16:07:00,3,SCN-3-3,Success,Access granted
143,143,2026-05-17T20:29:00,10,SCN-10-2,Success,Access granted
144,144,2026-05-18T22:18:00,11,SCN-11-2,Success,Access granted
145,145,2026-05-19T19:35:00,7,SCN-7-3,Success,Access granted
146,146,2026-05-20T19:36:00,1,SCN-1-2,Success,Access granted
147,147,2026-05-21T23:05:00,9,SCN-9-1,Success,Access granted
148,148,2026-05-22T19:39:00,8,SCN-8-4,Success,Access granted
149,149,2026-05-23T15:55:00,9,SCN-9-1,Success,Access granted
150,150,2026-05-14T20:31:00,4,SCN-4-3,Success,Access granted
151,151,2026-05-15T21:17:00,14,SCN-14-3,Success,Access granted
152,152,2026-05-16T15:31:00,6,SCN-6-4,Success,Access granted
153,153,2026-05-17T19:18:00,8,SCN-8-4,Success,Access granted
154,154,2026-05-18T22:12:00,8,SCN-8-2,Success,Access granted
155,155,2026-05-19T20:50:00,8,SCN-8-4,Success,Access granted
156,156,2026-05-20T20:50:00,6,SCN-6-3,Success,Access granted
157,157,2026-05-21T21:24:00,10,SCN-10-4,Success,Access granted
158,158,2026-05-22T21:00:00,8,SCN-8-2,Success,Access granted
159,159,2026-05-23T15:00:00,7,SCN-7-1,Success,Access granted
160,160,2026-05-14T20:51:00,5,SCN-5-2,Success,Access granted
161,161,2026-05-15T20:47:00,12,SCN-12-2,Success,Access granted
162,162,2026-05-16T17:15:00,6,SCN-6-3,Success,Access granted
163,163,2026-05-17T21:09:00,11,SCN-11-3,Success,Access granted
164,164,2026-05-18T23:12:00,7,SCN-7-4,Success,Access granted
165,165,2026-05-19T19:43:00,10,SCN-10-4,Success,Access granted
166,166,2026-05-20T20:50:00,2,SCN-2-1,Success,Access granted
167,167,2026-05-21T23:15:00,8,SCN-8-3,Success,Access granted
168,168,2026-05-22T19:23:00,8,SCN-8-4,Success,Access granted
169,169,2026-05-23T17:16:00,7,SCN-7-4,Success,Access granted
170,170,2026-05-14T21:08:00,1,SCN-1-2,Success,Access granted
171,171,2026-05-15T21:06:00,16,SCN-16-2,Success,Access granted
172,172,2026-05-16T16:20:00,3,SCN-3-1,Success,Access granted
173,173,2026-05-17T20:36:00,9,SCN-9-2,Success,Access granted
174,174,2026-05-18T21:34:00,11,SCN-11-1,Success,Access granted
175,175,2026-05-19T20:19:00,11,SCN-11-2,Success,Access granted
176,176,2026-05-20T19:34:00,5,SCN-5-4,Success,Access granted
177,177,2026-05-21T21:25:00,9,SCN-9-1,Success,Access granted
178,178,2026-05-22T21:02:00,10,SCN-10-1,Success,Access granted
179,179,2026-05-23T16:26:00,9,SCN-9-2,Success,Access granted
180,180,2026-05-14T19:39:00,6,SCN-6-2,Success,Access granted
181,181,2026-05-15T20:02:00,16,SCN-16-4,Success,Access granted
182,182,2026-05-16T15:59:00,6,SCN-6-3,Success,Access granted
183,183,2026-05-17T20:43:00,11,SCN-11-1,Success,Access granted
184,184,2026-05-18T22:22:00,8,SCN-8-2,Success,Access granted
185,185,2026-05-19T19:15:00,9,SCN-9-1,Success,Access granted
186,186,2026-05-20T20:33:00,6,SCN-6-4,Success,Access granted
187,187,2026-05-21T22:45:00,7,SCN-7-3,Success,Access granted
188,188,2026-05-22T19:45:00,11,SCN-11-4,Success,Access granted
189,189,2026-05-23T17:17:00,11,SCN-11-3,Success,Access granted
190,190,2026-05-14T20:35:00,1,SCN-1-2,Success,Access granted
191,191,2026-05-15T19:50:00,16,SCN-16-3,Success,Access granted
192,192,2026-05-16T16:23:00,4,SCN-4-1,Success,Access granted
193,193,2026-05-17T19:19:00,10,SCN-10-1,Success,Access granted
194,194,2026-05-18T22:56:00,10,SCN-10-3,Success,Access granted
195,195,2026-05-19T21:09:00,10,SCN-10-4,Success,Access granted
196,196,2026-05-20T20:44:00,1,SCN-1-4,Success,Access granted
197,197,2026-05-21T21:02:00,8,SCN-8-3,Success,Access granted
198,198,2026-05-22T21:07:00,11,SCN-11-1,Success,Access granted
199,199,2026-05-23T15:57:00,11,SCN-11-3,Success,Access granted
200,200,2026-05-14T19:30:00,3,SCN-3-1,Duplicate,Access denied - flagged
201,201,2026-05-15T21:02:00,14,SCN-14-1,Success,Access granted
202,202,2026-05-16T15:59:00,6,SCN-6-4,Success,Access granted
203,203,2026-05-17T20:11:00,10,SCN-10-3,Success,Access granted
204,204,2026-05-18T22:54:00,10,SCN-10-3,Success,Access granted
205,205,2026-05-19T19:42:00,11,SCN-11-2,Success,Access granted
206,206,2026-05-20T19:07:00,6,SCN-6-1,Success,Access granted
207,207,2026-05-21T21:14:00,9,SCN-9-3,Success,Access granted
208,208,2026-05-22T19:17:00,10,SCN-10-1,Success,Access granted
209,209,2026-05-23T15:23:00,11,SCN-11-3,Success,Access granted
210,210,2026-05-14T19:56:00,3,SCN-3-1,Success,Access granted
211,211,2026-05-15T19:58:00,13,SCN-13-4,Success,Access granted
212,212,2026-05-16T15:15:00,3,SCN-3-4,Success,Access granted
213,213,2026-05-17T20:29:00,9,SCN-9-2,Success,Access granted
214,214,2026-05-18T23:03:00,10,SCN-10-4,Success,Access granted
215,215,2026-05-19T20:41:00,8,SCN-8-1,Success,Access granted
216,216,2026-05-20T19:04:00,4,SCN-4-1,Success,Access granted
217,217,2026-05-21T22:53:00,11,SCN-11-3,Success,Access granted
218,218,2026-05-22T19:56:00,7,SCN-7-3,Success,Access granted
219,219,2026-05-23T15:26:00,8,SCN-8-1,Success,Access granted
220,220,2026-05-14T19:52:00,6,SCN-6-2,Success,Access granted
221,221,2026-05-15T20:44:00,12,SCN-12-1,Success,Access granted
222,222,2026-05-16T15:51:00,5,SCN-5-2,Success,Access granted
223,223,2026-05-17T20:04:00,9,SCN-9-2,Success,Access granted
224,224,2026-05-18T21:08:00,8,SCN-8-3,Success,Access granted
225,225,2026-05-19T19:37:00,10,SCN-10-2,Success,Access granted
226,226,2026-05-20T19:25:00,6,SCN-6-3,Success,Access granted
227,227,2026-05-21T23:04:00,8,SCN-8-3,Success,Access granted
228,228,2026-05-22T20:51:00,8,SCN-8-3,Success,Access granted
229,229,2026-05-23T16:51:00,11,SCN-11-3,Success,Access granted
230,230,2026-05-14T20:59:00,6,SCN-6-2,Success,Access granted
231,231,2026-05-15T19:45:00,12,SCN-12-4,Success,Access granted
232,232,2026-05-16T15:32:00,2,SCN-2-2,Success,Access granted
233,233,2026-05-17T20:45:00,10,SCN-10-1,Success,Access granted
234,234,2026-05-18T21:16:00,9,SCN-9-3,Success,Access granted
235,235,2026-05-19T19:15:00,10,SCN-10-4,Success,Access granted
236,236,2026-05-20T20:24:00,5,SCN-5-1,Success,Access granted
237,237,2026-05-21T21:23:00,9,SCN-9-1,Success,Access granted
238,238,2026-05-22T19:02:00,9,SCN-9-4,Success,Access granted
239,239,2026-05-23T17:12:00,8,SCN-8-3,Success,Access granted
240,240,2026-05-14T20:27:00,1,SCN-1-2,Success,Access granted
241,241,2026-05-15T21:05:00,13,SCN-13-1,Success,Access granted
242,242,2026-05-16T16:06:00,2,SCN-2-2,Success,Access granted
243,243,2026-05-17T20:48:00,7,SCN-7-2,Success,Access granted
244,244,2026-05-18T21:15:00,8,SCN-8-3,Success,Access granted
245,245,2026-05-19T19:37:00,7,SCN-7-4,Success,Access granted
246,246,2026-05-20T20:57:00,5,SCN-5-2,Success,Access granted
247,247,2026-05-21T22:26:00,8,SCN-8-4,Success,Access granted
248,248,2026-05-22T19:16:00,11,SCN-11-4,Success,Access granted
249,249,2026-05-23T16:40:00,7,SCN-7-1,Success,Access granted
250,250,2026-05-14T20:03:00,6,SCN-6-4,Success,Access granted
251,251,2026-05-15T19:45:00,14,SCN-14-1,Success,Access granted
252,252,2026-05-16T15:31:00,6,SCN-6-1,Success,Access granted
253,253,2026-05-17T20:23:00,7,SCN-7-4,Success,Access granted
254,254,2026-05-18T22:47:00,7,SCN-7-1,Success,Access granted
255,255,2026-05-19T20:00:00,7,SCN-7-1,Success,Access granted
256,256,2026-05-20T21:03:00,6,SCN-6-1,Success,Access granted
257,257,2026-05-21T21:27:00,8,SCN-8-2,Success,Access granted
258,258,2026-05-22T19:51:00,11,SCN-11-1,Success,Access granted
259,259,2026-05-23T16:08:00,7,SCN-7-2,Success,Access granted
260,260,2026-05-14T19:40:00,5,SCN-5-2,Success,Access granted
261,261,2026-05-15T19:13:00,12,SCN-12-2,Success,Access granted
262,262,2026-05-16T15:33:00,2,SCN-2-2,Success,Access granted
263,263,2026-05-17T21:03:00,7,SCN-7-2,Success,Access granted
264,264,2026-05-18T21:12:00,10,SCN-10-2,Success,Access granted
265,265,2026-05-19T20:09:00,11,SCN-11-3,Success,Access granted
266,266,2026-05-20T19:40:00,2,SCN-2-3,Success,Access granted
267,267,2026-05-21T22:58:00,7,SCN-7-2,Success,Access granted
268,268,2026-05-22T20:36:00,7,SCN-7-2,Success,Access granted
269,269,2026-05-23T15:52:00,8,SCN-8-4,Success,Access granted
270,270,2026-05-14T21:13:00,6,SCN-6-3,Success,Access granted
271,271,2026-05-15T19:13:00,14,SCN-14-3,Success,Access granted
272,272,2026-05-16T15:46:00,5,SCN-5-2,Success,Access granted
273,273,2026-05-17T21:09:00,8,SCN-8-4,Success,Access granted
274,274,2026-05-18T22:35:00,10,SCN-10-3,Success,Access granted
275,275,2026-05-19T20:11:00,10,SCN-10-4,Success,Access granted
276,276,2026-05-20T19:08:00,2,SCN-2-1,Success,Access granted
277,277,2026-05-21T22:58:00,9,SCN-9-2,Success,Access granted
278,278,2026-05-22T20:18:00,11,SCN-11-4,Success,Access granted
279,279,2026-05-23T16:42:00,11,SCN-11-4,Success,Access granted
280,280,2026-05-14T19:55:00,3,SCN-3-3,Success,Access granted
281,281,2026-05-15T19:33:00,16,SCN-16-1,Success,Access granted
282,282,2026-05-16T16:21:00,1,SCN-1-2,Success,Access granted
283,283,2026-05-17T19:11:00,11,SCN-11-1,Success,Access granted
284,284,2026-05-18T22:47:00,7,SCN-7-4,Success,Access granted
285,285,2026-05-19T19:25:00,9,SCN-9-2,Success,Access granted
286,286,2026-05-20T20:41:00,5,SCN-5-2,Success,Access granted
287,287,2026-05-21T21:03:00,10,SCN-10-3,Success,Access granted
288,288,2026-05-22T20:57:00,9,SCN-9-3,Success,Access granted
289,289,2026-05-23T16:17:00,8,SCN-8-4,Success,Access granted
290,290,2026-05-14T21:13:00,3,SCN-3-2,Success,Access granted
291,291,2026-05-15T20:49:00,12,SCN-12-2,Success,Access granted
292,292,2026-05-16T16:59:00,4,SCN-4-2,Success,Access granted
293,293,2026-05-17T20:57:00,10,SCN-10-4,Success,Access granted
294,294,2026-05-18T21:39:00,8,SCN-8-2,Success,Access granted
295,295,2026-05-19T20:26:00,8,SCN-8-3,Success,Access granted
296,296,2026-05-20T20:05:00,1,SCN-1-3,Success,Access granted
297,297,2026-05-21T22:45:00,9,SCN-9-2,Success,Access granted
298,298,2026-05-22T19:49:00,7,SCN-7-4,Success,Access granted
299,299,2026-05-23T15:41:00,11,SCN-11-1,Success,Access granted
300,300,2026-05-14T20:09:00,2,SCN-2-4,Suspicious Location,Access denied - flagged
301,301,2026-05-15T20:55:00,13,SCN-13-1,Success,Access granted
302,302,2026-05-16T15:50:00,2,SCN-2-4,Success,Access granted
303,303,2026-05-17T19:50:00,9,SCN-9-2,Success,Access granted
304,304,2026-05-18T23:11:00,8,SCN-8-1,Success,Access granted
305,305,2026-05-19T21:20:00,7,SCN-7-1,Success,Access granted
306,306,2026-05-20T21:15:00,3,SCN-3-3,Success,Access granted
307,307,2026-05-21T21:39:00,7,SCN-7-1,Success,Access granted
308,308,2026-05-22T19:16:00,8,SCN-8-3,Success,Access granted
309,309,2026-05-23T16:02:00,8,SCN-8-1,Success,Access granted
310,310,2026-05-14T21:12:00,6,SCN-6-4,Success,Access granted
311,311,2026-05-15T20:44:00,12,SCN-12-1,Success,Access granted
312,312,2026-05-16T15:55:00,2,SCN-2-1,Success,Access granted
313,313,2026-05-17T20:15:00,7,SCN-7-1,Success,Access granted
314,314,2026-05-18T21:35:00,10,SCN-10-4,Success,Access granted
315,315,2026-05-19T20:23:00,7,SCN-7-3,Success,Access granted
316,316,2026-05-20T20:14:00,1,SCN-1-2,Success,Access granted
317,317,2026-05-21T21:00:00,8,SCN-8-3,Success,Access granted
318,318,2026-05-22T19:29:00,10,SCN-10-3,Success,Access granted
319,319,2026-05-23T15:02:00,8,SCN-8-1,Success,Access granted
320,320,2026-05-14T19:00:00,1,SCN-1-3,Success,Access granted
321,321,2026-05-15T20:05:00,15,SCN-15-2,Success,Access granted
322,322,2026-05-16T17:00:00,2,SCN-2-2,Success,Access granted
323,323,2026-05-17T20:57:00,10,SCN-10-1,Success,Access granted
324,324,2026-05-18T23:09:00,8,SCN-8-2,Success,Access granted
325,325,2026-05-19T20:42:00,9,SCN-9-2,Success,Access granted
326,326,2026-05-20T21:05:00,5,SCN-5-3,Success,Access granted
327,327,2026-05-21T21:19:00,11,SCN-11-2,Success,Access granted
328,328,2026-05-22T20:50:00,11,SCN-11-3,Success,Access granted
329,329,2026-05-23T15:32:00,8,SCN-8-2,Success,Access granted
330,330,2026-05-14T19:59:00,5,SCN-5-3,Success,Access granted
331,331,2026-05-15T20:10:00,16,SCN-16-3,Success,Access granted
332,332,2026-05-16T16:55:00,2,SCN-2-1,Success,Access granted
333,333,2026-05-17T19:42:00,10,SCN-10-1,Success,Access granted
334,334,2026-05-18T21:38:00,10,SCN-10-3,Success,Access granted
335,335,2026-05-19T20:12:00,7,SCN-7-2,Success,Access granted
336,336,2026-05-20T20:55:00,3,SCN-3-1,Success,Access granted
337,337,2026-05-21T21:34:00,9,SCN-9-1,Success,Access granted
338,338,2026-05-22T21:06:00,10,SCN-10-4,Success,Access granted
339,339,2026-05-23T15:06:00,10,SCN-10-3,Success,Access granted
340,340,2026-05-14T19:24:00,2,SCN-2-4,Success,Access granted
341,341,2026-05-15T20:49:00,15,SCN-15-1,Success,Access granted
342,342,2026-05-16T15:19:00,4,SCN-4-3,Success,Access granted
343,343,2026-05-17T19:42:00,9,SCN-9-4,Success,Access granted
344,344,2026-05-18T21:36:00,8,SCN-8-4,Success,Access granted
345,345,2026-05-19T20:23:00,11,SCN-11-2,Success,Access granted
346,346,2026-05-20T20:16:00,3,SCN-3-2,Success,Access granted
347,347,2026-05-21T22:54:00,11,SCN-11-3,Success,Access granted
348,348,2026-05-22T20:04:00,11,SCN-11-4,Success,Access granted
349,349,2026-05-23T16:14:00,9,SCN-9-4,Success,Access granted
350,350,2026-05-14T19:59:00,1,SCN-1-3,Success,Access granted
351,351,2026-05-15T19:41:00,15,SCN-15-2,Success,Access granted
352,352,2026-05-16T15:49:00,6,SCN-6-4,Success,Access granted
353,353,2026-05-17T20:14:00,10,SCN-10-2,Success,Access granted
354,354,2026-05-18T21:33:00,8,SCN-8-4,Success,Access granted
355,355,2026-05-19T19:20:00,10,SCN-10-1,Success,Access granted
356,356,2026-05-20T19:05:00,1,SCN-1-1,Success,Access granted
357,357,2026-05-21T21:36:00,8,SCN-8-2,Success,Access granted
358,358,2026-05-22T19:55:00,7,SCN-7-4,Success,Access granted
359,359,2026-05-23T16:37:00,9,SCN-9-4,Success,Access granted
360,360,2026-05-14T19:37:00,4,SCN-4-2,Success,Access granted
361,361,2026-05-15T19:45:00,16,SCN-16-1,Success,Access granted
362,362,2026-05-16T16:23:00,6,SCN-6-1,Success,Access granted
363,363,2026-05-17T20:38:00,11,SCN-11-3,Success,Access granted
364,364,2026-05-18T21:29:00,11,SCN-11-3,Success,Access granted
365,365,2026-05-19T21:16:00,8,SCN-8-4,Success,Access granted
366,366,2026-05-20T20:49:00,5,SCN-5-4,Success,Access granted
367,367,2026-05-21T23:08:00,11,SCN-11-3,Success,Access granted
368,368,2026-05-22T19:43:00,10,SCN-10-2,Success,Access granted
369,369,2026-05-23T16:03:00,8,SCN-8-3,Success,Access granted
370,370,2026-05-14T19:33:00,6,SCN-6-3,Success,Access granted
371,371,2026-05-15T20:30:00,12,SCN-12-3,Success,Access granted
372,372,2026-05-16T17:10:00,3,SCN-3-2,Success,Access granted
373,373,2026-05-17T20:58:00,7,SCN-7-2,Success,Access granted
374,374,2026-05-18T22:15:00,7,SCN-7-1,Success,Access granted
375,375,2026-05-19T20:36:00,7,SCN-7-2,Success,Access granted
376,376,2026-05-20T20:56:00,4,SCN-4-2,Success,Access granted
377,377,2026-05-21T21:28:00,9,SCN-9-3,Success,Access granted
378,378,2026-05-22T19:38:00,7,SCN-7-3,Success,Access granted
379,379,2026-05-23T16:52:00,10,SCN-10-1,Success,Access granted
380,380,2026-05-14T19:28:00,5,SCN-5-2,Success,Access granted
381,381,2026-05-15T19:16:00,13,SCN-13-4,Success,Access granted
382,382,2026-05-16T17:17:00,3,SCN-3-4,Success,Access granted
383,383,2026-05-17T19:42:00,10,SCN-10-1,Success,Access granted
384,384,2026-05-18T21:14:00,11,SCN-11-4,Success,Access granted
385,385,2026-05-19T21:08:00,9,SCN-9-2,Success,Access granted
386,386,2026-05-20T19:26:00,4,SCN-4-4,Success,Access granted
387,387,2026-05-21T22:54:00,10,SCN-10-2,Success,Access granted
388,388,2026-05-22T20:03:00,7,SCN-7-4,Success,Access granted
389,389,2026-05-23T15:56:00,8,SCN-8-2,Success,Access granted
390,390,2026-05-14T21:20:00,6,SCN-6-1,Success,Access granted
391,391,2026-05-15T21:09:00,14,SCN-14-2,Success,Access granted
392,392,2026-05-16T16:30:00,1,SCN-1-4,Success,Access granted
393,393,2026-05-17T20:53:00,8,SCN-8-1,Success,Access granted
394,394,2026-05-18T21:13:00,10,SCN-10-4,Success,Access granted
395,395,2026-05-19T19:10:00,11,SCN-11-4,Success,Access granted
396,396,2026-05-20T19:11:00,6,SCN-6-1,Success,Access granted
397,397,2026-05-21T21:25:00,9,SCN-9-2,Success,Access granted
