sensor_id,name,type,zone_id,status,last_reading,current_value,health_score
SEN-066,Wankhede Stadium - Food Court West 1 - Wi-Fi Access Point,Wi-Fi Access Point,36,Healthy,2026-04-01T09:05:00,54,90
SEN-067,Wankhede Stadium - Medical Center A 1 - Wi-Fi Access Point,Wi-Fi Access Point,33,Healthy,2026-04-01T09:06:00,146,90
SEN-068,Narendra Modi Stadium - Food Court West 1 - Water Flow Meter,Water Flow Meter,7,Maintenance Required,2026-04-01T09:07:00,38.9,37
SEN-069,Wankhede Stadium - Concourse Upper B 1 - HVAC Temp Sensor,HVAC Temp Sensor,31,Healthy,2026-04-01T09:08:00,22.6,95
SEN-070,Eden Gardens - Corporate Box A 1 - Backup Generator,Backup Generator,26,Maintenance Required,2026-04-01T09:09:00,100.0,56
SEN-071,Eden Gardens - VIP Lounge North 1 - Water Flow Meter,Water Flow Meter,28,Healthy,2026-04-01T09:10:00,9.0,91
SEN-072,Eden Gardens - West Stand 1 - Lighting Controller,Lighting Controller,23,Healthy,2026-04-01T09:11:00,50.0,90
SEN-073,Wankhede Stadium - Corporate Box B 1 - HVAC Temp Sensor,HVAC Temp Sensor,34,Healthy,2026-04-01T09:12:00,23.2,85
SEN-074,Narendra Modi Stadium - South Stand 1 - Backup Generator,Backup Generator,16,Healthy,2026-04-01T09:13:00,100.0,96
SEN-075,Narendra Modi Stadium - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,2,Healthy,2026-04-01T09:14:00,0.267,88
SEN-076,Eden Gardens - Press Box 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,18,Healthy,2026-04-01T09:15:00,0.187,94
SEN-077,Narendra Modi Stadium - North Stand 1 - Backup Generator,Backup Generator,1,Healthy,2026-04-01T09:16:00,100.0,96
SEN-078,Narendra Modi Stadium - South Pavilion 1 - Water Flow Meter,Water Flow Meter,6,Healthy,2026-04-01T09:17:00,13.4,88
SEN-079,Eden Gardens - North Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,27,Healthy,2026-04-01T09:18:00,186,96
SEN-080,Wankhede Stadium - High Court Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,37,Maintenance Required,2026-04-01T09:19:00,147,36
SEN-081,Narendra Modi Stadium - South Stand 1 - Backup Generator,Backup Generator,16,Healthy,2026-04-01T09:20:00,100.0,96
SEN-082,Narendra Modi Stadium - Concourse Lower B 1 - Wi-Fi Access Point,Wi-Fi Access Point,9,Maintenance Required,2026-04-01T09:21:00,91,44
SEN-083,Eden Gardens - East Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,21,Healthy,2026-04-01T09:22:00,0.202,89
SEN-084,Eden Gardens - South Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,25,Healthy,2026-04-01T09:23:00,23.8,85
SEN-085,Narendra Modi Stadium - Grand Stand 1 - Water Flow Meter,Water Flow Meter,15,Healthy,2026-04-01T09:24:00,35.5,100
SEN-086,Eden Gardens - Club Clubhouse 1 - HVAC Temp Sensor,HVAC Temp Sensor,24,Healthy,2026-04-01T09:25:00,23.6,99
SEN-087,Narendra Modi Stadium - Press Box 1 - Backup Generator,Backup Generator,10,Healthy,2026-04-01T09:26:00,12.0,99
SEN-088,Eden Gardens - VIP Lounge North 1 - Wi-Fi Access Point,Wi-Fi Access Point,28,Maintenance Required,2026-04-01T09:27:00,166,45
SEN-089,Eden Gardens - Food Court West 1 - Water Flow Meter,Water Flow Meter,19,Healthy,2026-04-01T09:28:00,13.3,98
SEN-090,Narendra Modi Stadium - Concourse Upper B 1 - Lighting Controller,Lighting Controller,13,Healthy,2026-04-01T09:29:00,50.0,88
SEN-091,Wankhede Stadium - Concourse Upper B 1 - Water Flow Meter,Water Flow Meter,31,Healthy,2026-04-01T09:30:00,21.6,91
SEN-092,Narendra Modi Stadium - Corporate Box A 1 - Backup Generator,Backup Generator,4,Healthy,2026-04-01T09:31:00,12.0,97
SEN-093,Wankhede Stadium - Corporate Box B 1 - Backup Generator,Backup Generator,34,Healthy,2026-04-01T09:32:00,100.0,94
SEN-094,Narendra Modi Stadium - North Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,1,Healthy,2026-04-01T09:33:00,107,88
SEN-095,Narendra Modi Stadium - High Court Stand 1 - Backup Generator,Backup Generator,11,Healthy,2026-04-01T09:34:00,0.0,100
SEN-096,Wankhede Stadium - Concourse Lower A 1 - Water Flow Meter,Water Flow Meter,35,Healthy,2026-04-01T09:35:00,43.4,91
SEN-097,Wankhede Stadium - Club Clubhouse 1 - Wi-Fi Access Point,Wi-Fi Access Point,40,Healthy,2026-04-01T09:36:00,37,100
SEN-098,Narendra Modi Stadium - Food Court West 1 - HVAC Temp Sensor,HVAC Temp Sensor,7,Healthy,2026-04-01T09:37:00,19.3,93
SEN-099,Narendra Modi Stadium - South Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,16,Healthy,2026-04-01T09:38:00,0.168,97
SEN-100,Narendra Modi Stadium - Corporate Box A 1 - HVAC Temp Sensor,HVAC Temp Sensor,4,Healthy,2026-04-01T09:39:00,20.7,98
SEN-001,Eden Gardens - Food Court West 1 - Water Flow Meter,Water Flow Meter,19,Healthy,2026-04-01T09:40:00,21.3,96
SEN-002,Wankhede Stadium - Concourse Upper B 1 - Backup Generator,Backup Generator,31,Healthy,2026-04-01T09:41:00,100.0,94
SEN-003,Eden Gardens - South Pavilion 1 - HVAC Temp Sensor,HVAC Temp Sensor,30,Healthy,2026-04-01T09:42:00,22.8,95
SEN-004,Eden Gardens - East Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,21,Healthy,2026-04-01T09:43:00,81,96
SEN-005,Narendra Modi Stadium - Concourse Upper A 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,5,Healthy,2026-04-01T09:44:00,0.208,87
SEN-006,Eden Gardens - Press Box 1 - Water Flow Meter,Water Flow Meter,18,Healthy,2026-04-01T09:45:00,33.5,86
SEN-007,Eden Gardens - Corporate Box B 1 - HVAC Temp Sensor,HVAC Temp Sensor,20,Healthy,2026-04-01T09:46:00,20.9,92
SEN-008,Narendra Modi Stadium - Corporate Box A 1 - HVAC Temp Sensor,HVAC Temp Sensor,4,Healthy,2026-04-01T09:47:00,22.0,85
SEN-009,Wankhede Stadium - Medical Center A 1 - HVAC Temp Sensor,HVAC Temp Sensor,33,Healthy,2026-04-01T09:48:00,22.0,98
SEN-010,Wankhede Stadium - High Court Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,37,Healthy,2026-04-01T09:49:00,21.6,91
SEN-011,Narendra Modi Stadium - Food Court West 1 - Water Flow Meter,Water Flow Meter,7,Healthy,2026-04-01T09:50:00,43.4,99
SEN-012,Narendra Modi Stadium - North Stand 1 - Water Flow Meter,Water Flow Meter,1,Healthy,2026-04-01T09:51:00,16.3,90
SEN-013,Eden Gardens - VIP Lounge North 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,28,Healthy,2026-04-01T09:52:00,0.175,91
SEN-014,Wankhede Stadium - Concourse Upper B 1 - Lighting Controller,Lighting Controller,31,Healthy,2026-04-01T09:53:00,80.0,100
SEN-015,Narendra Modi Stadium - VIP Lounge North 1 - HVAC Temp Sensor,HVAC Temp Sensor,3,Healthy,2026-04-01T09:54:00,23.4,89
SEN-016,Wankhede Stadium - Club Clubhouse 1 - Lighting Controller,Lighting Controller,40,Healthy,2026-04-01T09:55:00,0.0,95
SEN-017,Eden Gardens - Concourse Lower A 1 - Backup Generator,Backup Generator,17,Healthy,2026-04-01T09:56:00,100.0,86
SEN-018,Eden Gardens - Food Court West 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,19,Healthy,2026-04-01T09:57:00,0.168,99
SEN-019,Narendra Modi Stadium - South Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,16,Healthy,2026-04-01T09:58:00,20.6,88
SEN-020,Wankhede Stadium - South Stand 1 - Water Flow Meter,Water Flow Meter,32,Healthy,2026-04-01T09:59:00,42.0,87
SEN-021,Eden Gardens - VIP Lounge North 1 - Wi-Fi Access Point,Wi-Fi Access Point,28,Healthy,2026-04-01T10:00:00,243,95
SEN-022,Wankhede Stadium - Club Clubhouse 1 - Backup Generator,Backup Generator,40,Healthy,2026-04-01T10:01:00,0.0,96
SEN-023,Eden Gardens - Food Court West 1 - Wi-Fi Access Point,Wi-Fi Access Point,19,Healthy,2026-04-01T10:02:00,52,97
SEN-024,Wankhede Stadium - Concourse Lower A 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,35,Healthy,2026-04-01T10:03:00,0.356,90
SEN-025,Eden Gardens - Corporate Box B 1 - Lighting Controller,Lighting Controller,20,Healthy,2026-04-01T10:04:00,0.0,99
SEN-026,Eden Gardens - Concourse Lower A 1 - HVAC Temp Sensor,HVAC Temp Sensor,17,Healthy,2026-04-01T10:05:00,19.5,86
SEN-027,Narendra Modi Stadium - High Court Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,11,Healthy,2026-04-01T10:06:00,62,87
SEN-028,Wankhede Stadium - Grand Stand 1 - Lighting Controller,Lighting Controller,38,Healthy,2026-04-01T10:07:00,0.0,92
SEN-029,Eden Gardens - Press Box 1 - Wi-Fi Access Point,Wi-Fi Access Point,18,Healthy,2026-04-01T10:08:00,222,87
SEN-030,Wankhede Stadium - Grand Stand 1 - Lighting Controller,Lighting Controller,38,Healthy,2026-04-01T10:09:00,50.0,86
SEN-031,Narendra Modi Stadium - Concourse Lower B 1 - Water Flow Meter,Water Flow Meter,9,Healthy,2026-04-01T10:10:00,42.1,86
SEN-032,Wankhede Stadium - VIP Lounge South 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,39,Healthy,2026-04-01T10:11:00,0.424,94
SEN-033,Eden Gardens - Corporate Box A 1 - Lighting Controller,Lighting Controller,26,Healthy,2026-04-01T10:12:00,100.0,93
SEN-034,Narendra Modi Stadium - Concourse Upper A 1 - Water Flow Meter,Water Flow Meter,5,Healthy,2026-04-01T10:13:00,9.1,87
SEN-035,Eden Gardens - VIP Lounge North 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,28,Healthy,2026-04-01T10:14:00,0.181,87
SEN-036,Narendra Modi Stadium - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,2,Healthy,2026-04-01T10:15:00,0.213,93
SEN-037,Wankhede Stadium - Concourse Lower A 1 - Backup Generator,Backup Generator,35,Healthy,2026-04-01T10:16:00,0.0,87
SEN-038,Narendra Modi Stadium - Concourse Lower B 1 - HVAC Temp Sensor,HVAC Temp Sensor,9,Healthy,2026-04-01T10:17:00,20.1,89
SEN-039,Wankhede Stadium - Corporate Box B 1 - Backup Generator,Backup Generator,34,Healthy,2026-04-01T10:18:00,0.0,98
SEN-040,Narendra Modi Stadium - South Stand 1 - Lighting Controller,Lighting Controller,16,Healthy,2026-04-01T10:19:00,100.0,96
SEN-041,Narendra Modi Stadium - Food Court West 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,7,Healthy,2026-04-01T10:20:00,0.105,86
SEN-042,Eden Gardens - West Stand 1 - Lighting Controller,Lighting Controller,23,Healthy,2026-04-01T10:21:00,100.0,90
SEN-043,Narendra Modi Stadium - South Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,16,Healthy,2026-04-01T10:22:00,21.8,94
SEN-044,Eden Gardens - VIP Lounge South 1 - Wi-Fi Access Point,Wi-Fi Access Point,29,Healthy,2026-04-01T10:23:00,231,86
SEN-045,Eden Gardens - Press Box 1 - Lighting Controller,Lighting Controller,18,Healthy,2026-04-01T10:24:00,100.0,94
SEN-046,Eden Gardens - Corporate Box B 1 - Lighting Controller,Lighting Controller,20,Healthy,2026-04-01T10:25:00,80.0,86
SEN-047,Eden Gardens - VIP Lounge South 1 - Lighting Controller,Lighting Controller,29,Healthy,2026-04-01T10:26:00,0.0,93
SEN-048,Wankhede Stadium - Corporate Box B 1 - Backup Generator,Backup Generator,34,Healthy,2026-04-01T10:27:00,100.0,98
SEN-049,Narendra Modi Stadium - High Court Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,11,Healthy,2026-04-01T10:28:00,0.339,97
SEN-050,Wankhede Stadium - VIP Lounge South 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,39,Healthy,2026-04-01T10:29:00,0.149,88
SEN-051,Eden Gardens - VIP Lounge North 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,28,Healthy,2026-04-01T10:30:00,0.267,90
SEN-052,Eden Gardens - West Stand 1 - Water Flow Meter,Water Flow Meter,23,Healthy,2026-04-01T10:31:00,41.1,96
SEN-053,Wankhede Stadium - High Court Stand 1 - Backup Generator,Backup Generator,37,Healthy,2026-04-01T10:32:00,0.0,86
SEN-054,Narendra Modi Stadium - South Pavilion 1 - Backup Generator,Backup Generator,6,Healthy,2026-04-01T10:33:00,12.0,93
SEN-055,Wankhede Stadium - Food Court West 1 - Backup Generator,Backup Generator,36,Healthy,2026-04-01T10:34:00,100.0,97
SEN-056,Eden Gardens - East Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,21,Healthy,2026-04-01T10:35:00,196,90
SEN-057,Wankhede Stadium - VIP Lounge South 1 - Water Flow Meter,Water Flow Meter,39,Healthy,2026-04-01T10:36:00,37.0,93
SEN-058,Wankhede Stadium - Medical Center A 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,33,Healthy,2026-04-01T10:37:00,0.408,87
SEN-059,Narendra Modi Stadium - Concourse Upper A 1 - Water Flow Meter,Water Flow Meter,5,Healthy,2026-04-01T10:38:00,40.8,86
SEN-060,Eden Gardens - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,24,Maintenance Required,2026-04-01T10:39:00,0.376,51
SEN-061,Narendra Modi Stadium - Press Box 1 - Lighting Controller,Lighting Controller,10,Healthy,2026-04-01T10:40:00,0.0,85
SEN-062,Wankhede Stadium - Grand Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,38,Healthy,2026-04-01T10:41:00,0.331,93
SEN-063,Wankhede Stadium - South Stand 1 - Backup Generator,Backup Generator,32,Healthy,2026-04-01T10:42:00,12.0,95
SEN-064,Narendra Modi Stadium - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,2,Healthy,2026-04-01T10:43:00,0.304,93
SEN-065,Wankhede Stadium - Food Court West 1 - Backup Generator,Backup Generator,36,Healthy,2026-04-01T10:44:00,12.0,89
SEN-066,Wankhede Stadium - Food Court West 1 - Wi-Fi Access Point,Wi-Fi Access Point,36,Healthy,2026-04-01T10:45:00,235,87
SEN-067,Wankhede Stadium - Medical Center A 1 - Wi-Fi Access Point,Wi-Fi Access Point,33,Healthy,2026-04-01T10:46:00,53,89
SEN-068,Narendra Modi Stadium - Food Court West 1 - Water Flow Meter,Water Flow Meter,7,Maintenance Required,2026-04-01T10:47:00,28.3,43
SEN-069,Wankhede Stadium - Concourse Upper B 1 - HVAC Temp Sensor,HVAC Temp Sensor,31,Healthy,2026-04-01T10:48:00,20.6,87
SEN-070,Eden Gardens - Corporate Box A 1 - Backup Generator,Backup Generator,26,Maintenance Required,2026-04-01T10:49:00,0.0,52
SEN-071,Eden Gardens - VIP Lounge North 1 - Water Flow Meter,Water Flow Meter,28,Healthy,2026-04-01T10:50:00,9.8,91
SEN-072,Eden Gardens - West Stand 1 - Lighting Controller,Lighting Controller,23,Healthy,2026-04-01T10:51:00,100.0,93
SEN-073,Wankhede Stadium - Corporate Box B 1 - HVAC Temp Sensor,HVAC Temp Sensor,34,Healthy,2026-04-01T10:52:00,20.3,94
SEN-074,Narendra Modi Stadium - South Stand 1 - Backup Generator,Backup Generator,16,Healthy,2026-04-01T10:53:00,12.0,94
SEN-075,Narendra Modi Stadium - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,2,Healthy,2026-04-01T10:54:00,0.35,97
SEN-076,Eden Gardens - Press Box 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,18,Healthy,2026-04-01T10:55:00,0.183,98
SEN-077,Narendra Modi Stadium - North Stand 1 - Backup Generator,Backup Generator,1,Healthy,2026-04-01T10:56:00,0.0,87
SEN-078,Narendra Modi Stadium - South Pavilion 1 - Water Flow Meter,Water Flow Meter,6,Healthy,2026-04-01T10:57:00,14.8,96
SEN-079,Eden Gardens - North Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,27,Healthy,2026-04-01T10:58:00,51,97
SEN-080,Wankhede Stadium - High Court Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,37,Maintenance Required,2026-04-01T10:59:00,146,36
SEN-081,Narendra Modi Stadium - South Stand 1 - Backup Generator,Backup Generator,16,Healthy,2026-04-01T11:00:00,12.0,93
SEN-082,Narendra Modi Stadium - Concourse Lower B 1 - Wi-Fi Access Point,Wi-Fi Access Point,9,Maintenance Required,2026-04-01T11:01:00,217,42
SEN-083,Eden Gardens - East Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,21,Healthy,2026-04-01T11:02:00,0.113,89
SEN-084,Eden Gardens - South Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,25,Healthy,2026-04-01T11:03:00,19.4,92
SEN-085,Narendra Modi Stadium - Grand Stand 1 - Water Flow Meter,Water Flow Meter,15,Healthy,2026-04-01T11:04:00,29.0,86
SEN-086,Eden Gardens - Club Clubhouse 1 - HVAC Temp Sensor,HVAC Temp Sensor,24,Healthy,2026-04-01T11:05:00,23.0,90
SEN-087,Narendra Modi Stadium - Press Box 1 - Backup Generator,Backup Generator,10,Healthy,2026-04-01T11:06:00,12.0,91
SEN-088,Eden Gardens - VIP Lounge North 1 - Wi-Fi Access Point,Wi-Fi Access Point,28,Maintenance Required,2026-04-01T11:07:00,191,60
SEN-089,Eden Gardens - Food Court West 1 - Water Flow Meter,Water Flow Meter,19,Healthy,2026-04-01T11:08:00,10.0,99
SEN-090,Narendra Modi Stadium - Concourse Upper B 1 - Lighting Controller,Lighting Controller,13,Healthy,2026-04-01T11:09:00,50.0,92
SEN-091,Wankhede Stadium - Concourse Upper B 1 - Water Flow Meter,Water Flow Meter,31,Healthy,2026-04-01T11:10:00,7.8,98
SEN-092,Narendra Modi Stadium - Corporate Box A 1 - Backup Generator,Backup Generator,4,Healthy,2026-04-01T11:11:00,100.0,99
SEN-093,Wankhede Stadium - Corporate Box B 1 - Backup Generator,Backup Generator,34,Healthy,2026-04-01T11:12:00,100.0,91
